compute_time,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,,ref-cycles,stalled-cycles-frontend,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,mem-loads,mem-stores,msr/aperf/,msr/mperf/,msr/smi/,msr/tsc/,power/energy-cores/,power/energy-pkg/,power/energy-ram/,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,CPU max MHz,CPU min MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),total_memory
4.3982,4265943309,121427512,532353380,2268077,29400985,17913238453,30877728850,,14857250438,7551663761,0,0,3063,5469.86,539,0,0,0,134928,134929,5473.97,153049015,8462338805,11068538,73232342,2735980977,35938896,1351447,11915881,660860,4469566,1178776,4626830,121814803,4302440989,4226760,8802275001,916920,2825240345,11702561,22823762,830524,1013535,426660,566600,576681,1003766,0,2764791184,18171611641,15142600863,11,15294418246,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-14 06:00:24.085855,parsec,swaptions_simlarge_t1_snappy1,swaptions,1,0.15,0.07,99.78,5.55,1.0,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,2617.138,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
2.2554,4283096635,121633336,530904986,1944774,26645753,17992077000,31485204799,,14874993850,7522120073,0,0,3076,5461.88,549,0,0,0,134883,134885,5465.65,153768505,8714529582,11128887,74244703,2797112561,34717506,1370703,12268458,998544,5217532,1090859,4991316,120735730,4240043505,5102069,8589125819,1062611,2774134649,6669521,27076866,1038722,1240806,544396,449501,387082,920631,0,2769014045,18179691312,15104795311,10,15273799237,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-14 06:01:08.080180,parsec,swaptions_simlarge_t2_snappy1,swaptions,2,0.1,0.08,99.82,5.55,1.9500753746563804,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,2617.138,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
1.171,4331276736,122401386,544820983,1913608,25233432,18061963112,31583409734,,15209453091,7517002639,0,0,3097,5605.39,565,0,0,0,134997,134999,5609.11,153810157,8675671666,10805615,74158294,2791060426,34763162,1297946,12417175,727131,5153439,1499149,5583382,120383958,4166914986,4797994,8473509677,1016831,2756569565,4253825,27936429,1149549,1273567,441747,618232,458887,869825,0,2795338343,18200888788,15445932551,12,15675518414,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-14 06:01:40.851513,parsec,swaptions_simlarge_t4_snappy1,swaptions,4,0.05,0.07,99.88,5.55,3.755935098206661,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,2617.138,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
0.6204,4181905761,120411793,566206702,2703921,30604534,17905798643,30895140232,,15875409691,7549422109,0,0,3092,5851.77,577,0,0,0,134591,134592,5855.59,153741566,8615848945,11135799,74438026,2804710521,33076300,1221526,11517438,699133,4834921,1288674,5123000,120290985,4230949650,4556091,8650541185,996964,2796823923,3078244,29339831,854644,1093025,428767,564955,709461,1393953,0,2709202920,18216772512,16148964705,11,16365049478,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-14 06:02:08.132936,parsec,swaptions_simlarge_t8_snappy1,swaptions,8,0.08,0.12,99.8,5.55,7.0892972275951,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,2617.138,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
0.3266,4276677517,121405126,591141883,2206960,29239930,17904563390,31078897674,,16534526506,7527291125,0,0,3133,6047.77,580,0,0,0,134862,134864,6051.66,154033988,8608517724,11515874,74208748,2800991128,35159968,1407336,12379181,727420,4719895,1383105,5831761,120838030,4226759118,4287245,8628000417,953117,2783147029,2097830,29468089,913911,1166962,399267,551354,521711,1073353,0,2771244765,18214583331,16845082139,14,16913064883,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-14 06:02:32.809684,parsec,swaptions_simlarge_t16_snappy1,swaptions,16,0.03,0.05,99.92,5.55,13.466625842008574,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,2617.138,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
0.31120000000000003,4298917452,122170554,595388816,2367514,28102296,18057303291,31456931468,,16663324871,7509226851,0,0,3585,6085.94,601,0,0,0,135222,135224,6090.02,155104858,8732747889,11292300,74782319,2819668704,34458882,1365121,12957249,892387,5834154,1473765,5782550,119779621,4133274029,5104465,8379380858,1089021,2756096942,2044323,22740482,1047973,1171019,337306,453413,429425,1027412,0,2789036055,18264768786,16943894825,14,17019087378,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-14 06:02:55.948606,parsec,swaptions_simlarge_t32_snappy1,swaptions,32,0.1,0.08,99.82,5.54,14.133033419023135,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,2617.138,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
0.2816,4272831658,122870236,591724606,2392698,28995997,17916879215,31150059692,,16566761786,7484157849,0,0,3848,6057.54,692,0,0,0,135229,135231,6061.56,155991692,8653328780,11837128,75775336,2812327629,35044325,1360554,12496928,614296,4899288,1585620,5971036,122234633,4263071077,4711722,8635642965,1047429,2789754130,1635616,25024190,1125759,1376835,442879,652464,593722,1255435,0,2765590662,18284194731,16867078150,14,16939787951,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-14 06:03:19.008562,parsec,swaptions_simlarge_t64_snappy1,swaptions,64,0.07,0.07,99.87,5.55,15.618607954545453,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,2617.138,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
0.0054,389365573,14160778,95213898,2427351,28235776,2519507370,1937077407,,2653258441,1619062534,0,0,3078,1016.63,540,0,0,0,134361,134362,1020.56,26661539,544412853,3382999,10922445,355178188,31452134,1145483,11052558,561379,4268901,1231546,5035620,15263006,396646351,4573257,533512727,1038071,344718679,1113946,557960,1028492,1263251,504282,626499,529002,1191910,0,294201341,2620507656,2765842174,2,2826667603,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-14 06:03:41.859754,parsec,swaptions_simlarge_t128_snappy1,swaptions,128,0.07,0.07,99.87,5.55,814.4814814814814,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,2617.138,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
