compute_time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,,stalled-cycles-backend,stalled-cycles-frontend,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-icache-load-misses,L1-icache-loads,L1-icache-prefetches,LLC-load-misses,LLC-loads,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,msr/aperf/,msr/mperf/,msr/tsc/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),NUMA node2 CPU(s),NUMA node3 CPU(s),NUMA node4 CPU(s),NUMA node5 CPU(s),NUMA node6 CPU(s),NUMA node7 CPU(s),total_memory
0.172,578373554.0,18460784.0,14617387.0,85908816.0,4640876290.0,2535827677.0,,1469860014.0,1277525638.0,0.0,0.0,5080.0,2081.91,1568.0,0.0,0.0,0.0,135757.0,135759.0,2088.73,37044388.0,1261284284.0,7056.0,35842936.0,36970574.0,1195610387.0,316819.0,13831309.0,78298987.0,20089605.0,18202951.0,607086562.0,813060.0,1312444764.0,314905.0,1213526611.0,4943475346.0,4349927609.0,4348603850.0,simsmall,2024-04-13 04:22:36.426283,parsec,blackscholes_simsmall_t1_crunchy1,blackscholes,1,0.04,0.07,99.89,3.69,1.0,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.098,528648670.0,18811814.0,15950789.0,91879144.0,4554504802.0,2423681888.0,,1436543969.0,1237166610.0,0.0,0.0,5256.0,2058.29,1558.0,0.0,0.0,0.0,135692.0,135694.0,2065.05,36014652.0,1320496256.0,3975.0,35731791.0,36148249.0,1195142952.0,332823.0,14465235.0,80422379.0,21463971.0,17844994.0,553464273.0,819849.0,1276809887.0,319236.0,1197368853.0,4891114643.0,4300451541.0,4299111781.0,simsmall,2024-04-13 04:23:01.759960,parsec,blackscholes_simsmall_t2_crunchy1,blackscholes,2,0.03,0.03,99.94,3.7,1.7551020408163263,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.062,553032799.0,18359933.0,14667632.0,89276851.0,4548917229.0,2487601440.0,,1452444651.0,1206070044.0,0.0,0.0,5244.0,2014.11,1546.0,0.0,0.0,0.0,135714.0,135716.0,2020.8,34220106.0,1270902486.0,5415.0,33720770.0,33357788.0,1212941653.0,282613.0,14483555.0,79463423.0,22462113.0,18662597.0,556242587.0,869795.0,1296996249.0,340294.0,1221656526.0,4787680727.0,4207649920.0,4206280650.0,simsmall,2024-04-13 04:23:26.715514,parsec,blackscholes_simsmall_t4_crunchy1,blackscholes,4,0.03,0.02,99.95,3.71,2.7741935483870965,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.044,521169899.0,18187955.0,15645625.0,92951471.0,4724020788.0,2600573566.0,,1582459151.0,1295117232.0,0.0,0.0,5433.0,2097.01,1604.0,0.0,0.0,0.0,135488.0,135489.0,2103.89,32252598.0,1432057952.0,5223.0,31975270.0,33127668.0,1260075812.0,330025.0,14419583.0,81266291.0,22287396.0,18388134.0,585855970.0,873475.0,1342249942.0,317943.0,1212599348.0,4967383746.0,4381594727.0,4380308984.0,simsmall,2024-04-13 04:23:51.442388,parsec,blackscholes_simsmall_t8_crunchy1,blackscholes,8,0.04,0.03,99.93,3.71,3.909090909090909,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.037,462634386.0,16462873.0,14710841.0,87893475.0,4356760776.0,2173515029.0,,1231078869.0,1236732242.0,0.0,0.0,4735.0,1969.99,1552.0,0.0,0.0,0.0,135696.0,135697.0,1976.72,35191175.0,1293639230.0,4072.0,34284763.0,33340054.0,1193941725.0,299871.0,12673995.0,79246177.0,21596180.0,16910452.0,496539345.0,864151.0,1211553810.0,301813.0,1107125011.0,4694468441.0,4114994446.0,4113453784.0,simsmall,2024-04-13 04:24:16.121577,parsec,blackscholes_simsmall_t16_crunchy1,blackscholes,16,0.03,0.02,99.95,3.72,4.648648648648648,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.034,671142007.0,17344889.0,14335016.0,84947523.0,5001682101.0,2745731737.0,,1359788718.0,1365152866.0,0.0,0.0,6672.0,2259.68,1576.0,0.0,0.0,0.0,135728.0,135730.0,2266.53,33757352.0,1534089940.0,6679.0,36101453.0,37051416.0,1400913334.0,352563.0,15085415.0,83388979.0,21634067.0,17229744.0,657818437.0,894970.0,1444514225.0,319288.0,1337791807.0,5315228458.0,4722584841.0,4721649944.0,simsmall,2024-04-13 04:24:40.693988,parsec,blackscholes_simsmall_t32_crunchy1,blackscholes,32,0.03,0.03,99.94,3.71,5.058823529411764,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.038,539052595.0,18990782.0,15738442.0,86995774.0,4754856446.0,2627827597.0,,1245969643.0,1154267843.0,0.0,0.0,5984.0,2154.61,1642.0,0.0,0.0,0.0,135754.0,135756.0,2161.64,36592288.0,1426841636.0,4503.0,36854718.0,33631543.0,1206204404.0,350299.0,13417456.0,82068616.0,23136306.0,18075547.0,583147719.0,905091.0,1323193069.0,341061.0,1227221612.0,5094470171.0,4501861484.0,4500587914.0,simsmall,2024-04-13 04:25:05.329434,parsec,blackscholes_simsmall_t64_crunchy1,blackscholes,64,0.04,0.08,99.88,3.72,4.526315789473684,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.053,561502188.0,17689429.0,14721175.0,87878730.0,4597956150.0,2555715147.0,,1429590524.0,1147128754.0,0.0,0.0,4903.0,2061.38,1695.0,0.0,0.0,0.0,135905.0,135906.0,2068.58,36965019.0,1309554211.0,5651.0,35523455.0,33775672.0,1236903459.0,331668.0,14187635.0,79625163.0,22697264.0,17382195.0,556379418.0,917240.0,1269067192.0,351026.0,1217261050.0,4898788597.0,4305592125.0,4304125762.0,simsmall,2024-04-13 04:25:29.966439,parsec,blackscholes_simsmall_t128_crunchy1,blackscholes,128,0.03,0.02,99.95,3.72,3.2452830188679243,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
