compute_time,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-store-misses,node-stores,mem-loads,mem-stores,msr/aperf/,msr/mperf/,msr/smi/,msr/tsc/,power/energy-cores/,power/energy-pkg/,power/energy-ram/,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_4/cas_count_read/,uncore_imc_4/cas_count_write/,uncore_imc_4/clockticks/,uncore_imc_5/cas_count_read/,uncore_imc_5/cas_count_write/,uncore_imc_5/clockticks/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,CPU max MHz,CPU min MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),total_memory
0.5356000000000001,893552126,30653149,165285992,1736511,37493778,3504262465,4130124562,4118768839,0,0,3212,1736.34,587,0,0,0,139692,139693,1739.80,41480036,1225210622,615296181,15677849,1261263,14915748,396489,2281713,32350300,913423195,4451904,1252952039,495447,630756535,944850,872607,1059432,401875,232611,173194,0,611723741,3646726176,4295282712,0,4325062093,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 06:57:58.165167,parsec,freqmine_simsmall_t1_cuda1,freqmine,1,0.04,0.03,99.93,4.13,1.0,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1262.664,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
0.3848,879014851,31129746,178854217,1988623,38866522,3473379608,4114113293,4457161674,0,0,3137,1869.31,582,0,0,0,139838,139840,1872.99,41956195,1224095497,632651443,15444045,1268089,14821838,447305,1882772,30641049,883109390,4456473,1203790568,526544,599883755,929660,880281,1070089,400464,276082,197223,0,612420270,3587056888,4629298831,0,4656100803,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 06:58:24.105857,parsec,freqmine_simsmall_t2_cuda1,freqmine,2,0.08,0.1,99.78,4.13,1.391891891891892,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1262.664,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
0.3126,865861067,29907691,189781184,2104010,38591052,3475307328,4084030599,4764985697,0,0,3156,1995.79,589,0,0,0,140589,140591,1999.52,44140697,1240735331,626528134,15708826,1414921,15574558,567133,2304381,32382657,907902088,4361041,1262591097,547217,632146004,935736,933359,1120919,234406,269340,181819,0,608660163,3624985594,4949528160,0,4972293784,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 06:58:50.724877,parsec,freqmine_simsmall_t4_cuda1,freqmine,4,0.04,0.07,99.89,4.13,1.7133717210492645,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1262.664,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
0.251,927041509,31197239,199399486,2091618,39737836,3659178109,4265620924,4996355823,0,0,3175,2095.47,576,0,0,0,143939,143941,2099.06,43447928,1256082169,642710241,15598850,1412105,15207721,672815,2545276,30976252,903761012,4517360,1224608924,607160,607957380,944919,930248,1253458,387361,292135,163041,0,635283178,3780861979,5187212733,0,5221737743,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 06:59:16.352764,parsec,freqmine_simsmall_t8_cuda1,freqmine,8,0.08,0.14,99.72,4.14,2.13386454183267,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1262.664,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
0.238,972285760,32689458,233078166,2599624,41563359,4055592466,4381819262,5843364098,0,0,3301,2437.16,612,0,0,0,146888,146890,2440.92,46828447,1280499225,651741613,16022806,1596248,15639024,660776,2423486,32456041,960161368,4188520,1233824774,601669,602109511,910591,864330,1090982,356451,411318,241392,0,658857682,4119676213,6046751406,0,6075738629,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 06:59:40.999177,parsec,freqmine_simsmall_t16_cuda1,freqmine,16,0.04,0.08,99.88,4.14,2.2504201680672273,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1262.664,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
0.27060000000000006,935120295,29281800,215602708,2864262,42224156,3774496680,4407586624,5392535313,0,0,3935,2257.48,880,0,0,0,148718,148719,2261.71,54266397,1339683505,709619663,16944163,1620731,17061313,661684,2460807,33635989,913120253,4547856,1235002555,589117,608033823,969884,919286,1188327,582116,489847,388511,0,632977479,3899015293,5588031985,0,5624693913,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 07:00:06.035545,parsec,freqmine_simsmall_t32_cuda1,freqmine,32,0.07,0.07,99.86,4.14,1.9793052475979303,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1262.664,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
0.3424,954858742,34425305,234593711,3068955,50069387,4069626675,4473446060,5859329569,0,0,4551,2471.51,1328,0,0,0,157675,157676,2476.34,61523232,1368022093,722290447,18729919,2236741,20870140,1033317,4186880,26972003,863062215,4299482,1206037377,643452,616276776,888507,797914,1547930,933628,462388,317653,0,695741169,4167146531,6125930013,0,6156906052,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 07:00:30.559491,parsec,freqmine_simsmall_t64_cuda1,freqmine,64,0.03,0.07,99.9,4.14,1.5642523364485985,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1262.664,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
0.4588,932417860,30604318,269731574,4751371,51044085,4490991725,4502575473,6800951631,0,0,5881,2860.93,2057,0,0,0,174450,174451,2867.14,89435529,1409296406,726815857,16313318,3727538,27611176,1046130,7089643,29237645,951359074,5248711,1412331909,752319,760779729,1183258,1131089,2456431,1503756,521251,646609,0,679825666,4842864469,7092422332,0,7124068489,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 07:00:56.000131,parsec,freqmine_simsmall_t128_cuda1,freqmine,128,0.07,0.07,99.86,4.14,1.1673931996512643,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1262.664,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
