compute_time,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-store-misses,node-stores,mem-loads,mem-stores,msr/aperf/,msr/mperf/,msr/smi/,msr/tsc/,power/energy-cores/,power/energy-pkg/,power/energy-ram/,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_4/cas_count_read/,uncore_imc_4/cas_count_write/,uncore_imc_4/clockticks/,uncore_imc_5/cas_count_read/,uncore_imc_5/cas_count_write/,uncore_imc_5/clockticks/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,CPU max MHz,CPU min MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),total_memory
4.9086,2595513563,73142959,583539327,12205915,90460926,16295095602,30359502313,14579279831,0,0,5554,5986.45,610,0,0,0,201662,201664,5991.86,328933934,8947856388,4060659583,23248056,9295144,53524330,2552099,10335400,73630542,2637045145,6148002,9056050030,912219,4069542281,1295406,904892,1132113,8537367,263846,2348949,0,3997068531,16703845163,14892814915,0,14939231642,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 05:47:23.189150,parsec,facesim_simmedium_t1_cuda1,facesim,1,0.08,0.08,99.83,4.06,1.0,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
3.6664000000000003,2624140092,72217205,610235931,11632043,92289529,16673870820,30282194723,15273012893,0,0,6787,6271.34,623,0,0,0,189697,189699,6277.08,311095841,8886427748,4036436891,24226237,8656940,49528185,3278967,14615654,74184879,2628168391,5971331,9081059866,854607,4089378166,1250566,971730,3488940,5195860,1243241,1611646,0,4055025749,17145909571,15604289991,0,15650494121,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 05:48:21.508494,parsec,facesim_simmedium_t2_cuda1,facesim,2,0.06,0.04,99.9,4.05,1.3388064586515382,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
3.3482,2640398248,71550363,646675650,11865814,87170150,16668435639,31045477380,16194622350,0,0,7812,6671.60,619,0,0,0,190333,190335,6677.68,308129844,9091140320,4098207579,24950269,8412533,47061778,2761526,10014543,75897102,2646976279,5600066,9119202385,869631,4120225204,1643426,1478998,3610841,4823763,1453562,1564293,0,4080620371,17008535774,16562079359,0,16648575499,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 05:49:13.349735,parsec,facesim_simmedium_t4_cuda1,facesim,4,0.03,0.08,99.89,4.06,1.4660414551102086,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
2.9312,2672198241,75027013,716440560,12099684,87542023,16751933169,31196951998,17894369984,0,0,10455,7388.59,656,0,0,0,189820,189822,7395.40,310897152,9130926875,4123165707,25690149,8571153,47406378,3099899,13443270,73662030,2680053356,6349479,9087495848,986005,4146696121,1527625,1203544,4131520,4631691,1580325,1459697,0,4112983442,17132737976,18377428314,0,18437154621,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 05:50:02.956828,parsec,facesim_simmedium_t8_cuda1,facesim,8,0.06,0.04,99.9,4.06,1.6746042576419213,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
2.9204,2725075500,77394544,790992579,13254455,98579375,17175220317,31277990543,19810847346,0,0,15837,8206.70,711,0,0,0,190493,190495,8219.02,317033906,9151848089,4197293344,29129653,9321950,49871751,3390425,12546577,77689148,2690040500,7269536,9295345792,977135,4203070588,1456969,1645481,5281000,4466449,2439454,1198073,0,4186798251,17615680496,20371049946,0,20463824407,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 05:50:50.839957,parsec,facesim_simmedium_t16_cuda1,facesim,16,0.07,0.1,99.83,4.06,1.6807971510751951,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
3.164,2772177236,80654544,845291337,14302027,113306442,17754737729,32080384524,21147395212,0,0,26651,8811.40,1738,0,0,0,189243,189244,8832.81,327708303,9369650875,4293984252,33062141,10443178,55842898,4039683,13374759,79357122,2757796822,8233323,9426714934,1105605,4318575986,2491391,1350431,5420275,4896415,2038156,1905402,0,4260845521,18215375105,21854774590,0,21937677752,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 05:51:37.543189,parsec,facesim_simmedium_t32_cuda1,facesim,32,0.03,0.07,99.9,4.06,1.5513906447534764,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
3.7593999999999994,2899708220,87451477,936637813,16208204,136095574,18343876793,32338653094,23432783400,0,0,48419,9882.77,2681,0,0,0,193553,193554,9924.17,341151240,9580091411,4436694365,39172053,11609861,66749948,4702635,13575070,83044291,2843144216,10083183,9761654318,1163733,4471795178,2123397,1310858,6976431,4795861,2243631,1945918,0,4390241065,19067159146,24485661086,0,24531206990,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 05:52:26.384846,parsec,facesim_simmedium_t64_cuda1,facesim,64,0.04,0.06,99.9,4.06,1.305687077725169,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
5.2918,3017983223,93794942,1047990134,20134266,183829463,19951014570,33663239795,26326116630,0,0,91396,11259.59,4411,0,0,0,193657,193658,11341.94,366371775,10087226020,4721345667,52491273,15532963,96307896,5116788,16422797,97317633,3156571761,15860612,10091030622,1721327,4677339947,4209558,1447019,10238658,5799640,2778398,2135594,0,4590839072,21112919275,27759877136,0,27795502044,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 05:53:18.382545,parsec,facesim_simmedium_t128_cuda1,facesim,128,0.04,0.06,99.9,4.06,0.9275860765712989,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
