compute_time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,,ref-cycles,stalled-cycles-backend,stalled-cycles-frontend,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-loads,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,mem-loads,msr/aperf/,msr/mperf/,msr/smi/,msr/tsc/,uncore/clockticks/,uncore/qhl_request_ioh_reads/,uncore/qhl_request_ioh_writes/,uncore/qhl_request_local_reads/,uncore/qhl_request_local_writes/,uncore/qhl_request_remote_reads/,uncore/qhl_request_remote_writes/,uncore/qmc_normal_reads_any/,uncore/qmc_writes_full_any/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),total_memory
8.0592,5748115556,266964864,7882915,59436716,23362581409,34879697379,,23912880277,4713838927,7229188826,0,0,3300,9602.74,577,0,0,0,152726,152726,9607.54,103115901,10894226384,25729019,47857879,19152803,5449215646,79998150,15844198707,2842540,34398448,2105220,13524361,4251732,27097741,5469936005,5694801542,21879885,10632816176,644336,5361404505,1268413,34266754538,494438,2939371,372325,2353805,115933,5682627,0,23490533620,24242779212,19,24243600814,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-15 17:14:49.422276,parsec,freqmine_simlarge_t1_crackle5,freqmine,1,0.06,0.06,99.83,10.21,1.0,crackle5,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2526.829,5053.65,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
5.0884,5746427440,268813183,13861479,67436788,24653197021,34209047074,,27008901247,5464370281,8780630577,0,0,3278,10878.35,605,0,0,0,152951,152951,10883.10,108533009,10635988450,29826762,5202789,21510910,5360081677,85240750,16217935537,5768655,35339931,6811369,18309105,5745031,30043582,5588653582,5805236020,22430923,10863966945,608485,5485761631,1139632,34748129686,584944,5636982,776595,7213799,265307,6644776,0,25097320676,27463462273,22,27466798453,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-15 17:15:55.952784,parsec,freqmine_simlarge_t2_crackle5,freqmine,2,0.04,0.06,99.81,10.22,1.5838377486046695,crackle5,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2526.829,5053.65,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
2.92,5830537620,266944810,11014265,67343114,24355214404,34391883266,,27007774344,5593840432,8450136961,0,0,3328,10904.62,598,0,0,0,155462,155462,10909.38,104228772,10702289958,26946226,26474022,22763057,5386309960,82138808,15913261488,3770303,35166072,2586931,13463504,5672041,27851365,5542791675,5842625075,24385555,10909077828,691933,5473329643,1289277,34805815190,815080,3401213,822792,2475292,346078,5476100,0,24926395372,27497702265,21,27533147912,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-15 17:16:48.197713,parsec,freqmine_simlarge_t4_crackle5,freqmine,4,0.04,0.04,99.83,10.22,2.7600000000000002,crackle5,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2526.829,5053.65,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
2.2566,5822719146,273654668,13681555,71163842,25834167349,34921106745,,31120274666,6040995122,9813777311,0,0,3523,12540.76,601,0,0,0,157087,157088,12545.68,116629125,10851749002,28727529,26854551,23172736,5519339487,77906615,16236493504,4024979,37075691,3844798,16933675,5979713,30731523,5623733099,5920831519,22940269,10891756253,706077,5416175941,1405392,34777391286,888526,4192422,1221411,4018130,412683,8397475,0,26137195540,31667704453,23,31666975632,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-15 17:17:28.771058,parsec,freqmine_simlarge_t8_crackle5,freqmine,8,0.06,0.06,99.83,10.21,3.5713905876096783,crackle5,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2526.829,5053.65,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
2.3572,5889708498,283386303,15943672,79272802,32129074808,34617738365,,41986347373,6393865709,16890828508,0,0,4152,16985.83,634,0,0,0,162931,162932,16991.47,145755028,10812446563,32226647,51476790,31158144,5416952549,88612786,15679551621,5669526,42730036,4819345,17493339,8382301,37278585,5558720476,5980203991,23924892,10940887271,847474,5442563839,1458894,34873676650,850345,4746182,1229599,4972378,594663,9471963,0,32705913840,42896500911,31,42895949341,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-15 17:18:06.302546,parsec,freqmine_simlarge_t16_crackle5,freqmine,16,0.04,0.06,99.81,10.21,3.4189716612930594,crackle5,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2526.829,5053.65,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
2.5174,5805544336,277626126,17197976,77571883,29939585909,34339538130,,40303309705,5816206352,14756067819,0,0,5691,16312.20,1093,0,0,0,168651,168651,16318.89,151277006,10786530144,28904394,48665832,31064842,5406848235,92645048,15672892630,4874605,40096197,3796258,14071096,9706017,42978862,5459460235,5820660684,23213366,10830468627,1120389,5441548233,1409252,34560607370,1172376,4704632,1371136,4296821,819186,11208522,0,30458390130,41187906356,33,41189135986,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-15 17:18:44.322288,parsec,freqmine_simlarge_t32_crackle5,freqmine,32,0.08,0.06,99.79,10.23,3.201398268054342,crackle5,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2526.829,5053.65,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
2.6,5910648140,279924174,21791221,89197996,30402681369,34452926555,,41528541463,6159832786,15131167488,0,0,6925,16817.27,1584,0,0,0,176820,176820,16824.60,177274512,10833798816,22958011,44609354,37124876,5577899920,97364671,15684757021,5705995,45541685,3674248,14705676,11793168,49735888,5511438953,5803119797,25910922,10706966893,1355145,5253743391,1479501,33785389681,1962414,6254721,1114029,4215189,1093230,14553533,0,30841542547,42462557497,35,42461609935,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-15 17:19:23.104486,parsec,freqmine_simlarge_t64_crackle5,freqmine,64,0.08,0.08,99.75,10.23,3.0996923076923077,crackle5,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2526.829,5053.65,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
2.8,5854438191,275183244,31417225,108129067,30718657029,34090383978,,43906696534,6462591779,15448914994,0,0,8557,17820.60,2235,0,0,0,198122,198122,17829.64,217534170,10943361630,22036456,53541388,46721688,5570464777,105101527,15870247447,7910527,54342843,4749208,14997108,18679602,71774612,5609850761,5958125049,28271247,11103260762,2078394,5636726343,1488024,35176536622,2767945,8380714,1169769,4653524,1250348,19272846,0,31374603889,44988097172,40,44989167573,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simlarge,2024-04-15 17:20:02.528472,parsec,freqmine_simlarge_t128_crackle5,freqmine,128,0.17,0.08,99.71,10.25,2.8782857142857146,crackle5,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2526.829,5053.65,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
