compute_time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,,stalled-cycles-backend,stalled-cycles-frontend,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-icache-load-misses,L1-icache-loads,L1-icache-prefetches,LLC-load-misses,LLC-loads,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,msr/aperf/,msr/mperf/,msr/tsc/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),NUMA node2 CPU(s),NUMA node3 CPU(s),NUMA node4 CPU(s),NUMA node5 CPU(s),NUMA node6 CPU(s),NUMA node7 CPU(s),total_memory
4.746,1805174855.0,34186553.0,16575222.0,236840650.0,15650006588.0,15504659634.0,,7554435188.0,1640273167.0,0.0,0.0,6487.0,6711.4,1603.0,0.0,0.0,0.0,144620.0,144621.0,6719.08,161528091.0,4906233000.0,6136.0,169795209.0,45045234.0,3562273932.0,1023011.0,15443384.0,224428175.0,25325612.0,34031233.0,1847606193.0,879881.0,4898198998.0,321403.0,3489110345.0,16037721004.0,14068946654.0,14067277326.0,simlarge,2024-04-13 04:40:43.719399,parsec,bodytrack_simlarge_t1_crunchy1,bodytrack,1,0.03,0.03,99.95,3.73,1.0,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
2.638,1999481001.0,34033805.0,17667295.0,236189555.0,16227603359.0,15565747879.0,,7588876696.0,1647784125.0,0.0,0.0,9160.0,6996.59,1572.0,0.0,0.0,0.0,143611.0,143612.0,7004.54,162169674.0,5132615490.0,5214.0,172013349.0,44744342.0,3678703244.0,1157181.0,16044846.0,227978248.0,26887587.0,34048122.0,1951671523.0,925802.0,5082341214.0,330993.0,3686799946.0,16659981433.0,14666009580.0,14664855126.0,simlarge,2024-04-13 04:41:33.940909,parsec,bodytrack_simlarge_t2_crunchy1,bodytrack,2,0.03,0.02,99.95,3.73,1.7990902198635332,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
1.549,1766448548.0,32746905.0,17578592.0,233964081.0,15643201884.0,15292693630.0,,7722207268.0,1534033824.0,0.0,0.0,7040.0,6709.0,1590.0,0.0,0.0,0.0,142755.0,142757.0,6717.46,162525299.0,4847287389.0,5929.0,170936303.0,47644485.0,3481603057.0,1176265.0,18645483.0,224958311.0,27729312.0,33792042.0,1826344821.0,906902.0,4781757928.0,309475.0,3422982246.0,16051507858.0,14060518291.0,14058628451.0,simlarge,2024-04-13 04:42:13.356102,parsec,bodytrack_simlarge_t4_crunchy1,bodytrack,4,0.03,0.02,99.95,3.74,3.0639122014202718,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
1.025,1737659382.0,32866224.0,17187094.0,236185723.0,15868435619.0,15403646942.0,,7107960292.0,1599666328.0,0.0,0.0,8660.0,6847.46,1627.0,0.0,0.0,0.0,141680.0,141681.0,6857.31,161815101.0,4826264601.0,6223.0,168178613.0,43267485.0,3516998425.0,1296694.0,16728878.0,220692315.0,28376938.0,32847196.0,1804507077.0,957559.0,4849551846.0,321642.0,3440239907.0,16319720338.0,14343278606.0,14343865262.0,simlarge,2024-04-13 04:42:47.222324,parsec,bodytrack_simlarge_t8_crunchy1,bodytrack,8,0.04,0.04,99.92,3.74,4.630243902439025,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.778,1911244319.0,35112139.0,20023560.0,245001138.0,16947538538.0,15353448237.0,,5815008444.0,1752170176.0,0.0,0.0,12966.0,7460.64,1665.0,0.0,0.0,0.0,141593.0,141594.0,7473.5,165074512.0,5019992385.0,6352.0,184278832.0,44245930.0,3570482007.0,1121079.0,19083220.0,233343115.0,29730334.0,34474124.0,1911594909.0,997791.0,5038617146.0,324143.0,3639770659.0,17460078685.0,15609902362.0,15619088308.0,simlarge,2024-04-13 04:43:18.397820,parsec,bodytrack_simlarge_t16_crunchy1,bodytrack,16,0.07,0.06,99.87,3.75,6.100257069408741,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.686,1946064788.0,36417183.0,19153996.0,244750348.0,18087425471.0,16042820934.0,,4814977722.0,1938935112.0,0.0,0.0,20037.0,8050.13,1875.0,0.0,0.0,0.0,141966.0,141967.0,8069.26,168754390.0,5087304321.0,9500.0,178165627.0,47722611.0,3828874476.0,1196609.0,20711411.0,232471681.0,33553240.0,36975057.0,1996853203.0,1157403.0,5068641270.0,353232.0,3711047704.0,18671892553.0,16821030048.0,16832841008.0,simlarge,2024-04-13 04:43:48.439663,parsec,bodytrack_simlarge_t32_crunchy1,bodytrack,32,0.09,0.1,99.8,3.74,6.918367346938775,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.709,1904836619.0,41635401.0,25825251.0,266160631.0,19577292100.0,16133582291.0,,4321212123.0,2308348242.0,0.0,0.0,31766.0,8613.32,3306.0,0.0,0.0,0.0,141964.0,141966.0,8646.41,173664604.0,5341156490.0,10914.0,182715558.0,53617177.0,3894333405.0,1335451.0,26240143.0,251695715.0,41678128.0,41396297.0,1977868242.0,1375033.0,5221766705.0,379594.0,3798282906.0,20410643291.0,17965897812.0,17964739187.0,simlarge,2024-04-13 04:44:17.999423,parsec,bodytrack_simlarge_t64_crunchy1,bodytrack,64,0.05,0.04,99.91,3.74,6.693935119887166,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.852,2194877618.0,49968583.0,32601703.0,282132536.0,22373289528.0,16738470038.0,,4584682803.0,3011413662.0,0.0,0.0,58194.0,10012.37,10923.0,0.0,0.0,0.0,142823.0,142824.0,10071.84,194300090.0,5853990030.0,25455.0,205054807.0,61071797.0,4310871481.0,1324928.0,31886686.0,282912809.0,50700239.0,49090796.0,2161353961.0,1498438.0,5817004407.0,430794.0,4298744358.0,23643696012.0,20819627436.0,20816856728.0,simlarge,2024-04-13 04:44:47.651614,parsec,bodytrack_simlarge_t128_crunchy1,bodytrack,128,0.04,0.04,99.92,3.74,5.570422535211268,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
