compute_time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,,ref-cycles,stalled-cycles-backend,stalled-cycles-frontend,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-loads,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,mem-loads,msr/aperf/,msr/mperf/,msr/smi/,msr/tsc/,uncore/clockticks/,uncore/qhl_request_ioh_reads/,uncore/qhl_request_ioh_writes/,uncore/qhl_request_local_reads/,uncore/qhl_request_local_writes/,uncore/qhl_request_remote_reads/,uncore/qhl_request_remote_writes/,uncore/qmc_normal_reads_any/,uncore/qmc_writes_full_any/,cache_lock_cycles.l1d,cache_lock_cycles.l1d_l2,l1d.m_evict,l1d.m_repl,l1d.m_snoop_evict,l1d.repl,l1d_cache_prefetch_lock_fb_hit,l1d_prefetch.miss,l1d_prefetch.requests,l1d_prefetch.triggers,l1d_wb_l2.e_state,l1d_wb_l2.i_state,l1d_wb_l2.m_state,l1d_wb_l2.mesi,l1d_wb_l2.s_state,l2_data_rqsts.any,l2_data_rqsts.demand.e_state,l2_data_rqsts.demand.i_state,l2_data_rqsts.demand.m_state,l2_data_rqsts.demand.mesi,l2_data_rqsts.demand.s_state,l2_data_rqsts.prefetch.e_state,l2_data_rqsts.prefetch.i_state,l2_data_rqsts.prefetch.m_state,l2_data_rqsts.prefetch.mesi,l2_data_rqsts.prefetch.s_state,l2_lines_in.any,l2_lines_in.e_state,l2_lines_in.s_state,l2_lines_out.any,l2_lines_out.demand_clean,l2_lines_out.demand_dirty,l2_lines_out.prefetch_clean,l2_lines_out.prefetch_dirty,l2_rqsts.ifetch_hit,l2_rqsts.ifetch_miss,l2_rqsts.ifetches,l2_rqsts.ld_hit,l2_rqsts.ld_miss,l2_rqsts.loads,l2_rqsts.miss,l2_rqsts.prefetch_hit,l2_rqsts.prefetch_miss,l2_rqsts.prefetches,l2_rqsts.references,l2_rqsts.rfo_hit,l2_rqsts.rfo_miss,l2_rqsts.rfos,l2_transactions.any,l2_transactions.fill,l2_transactions.ifetch,l2_transactions.l1d_wb,l2_transactions.load,l2_transactions.prefetch,l2_transactions.rfo,l2_transactions.wb,l2_write.lock.e_state,l2_write.lock.hit,l2_write.lock.i_state,l2_write.lock.m_state,l2_write.lock.mesi,l2_write.lock.s_state,l2_write.rfo.hit,l2_write.rfo.i_state,l2_write.rfo.m_state,l2_write.rfo.mesi,l2_write.rfo.s_state,longest_lat_cache.miss,longest_lat_cache.reference,mem_inst_retired.latency_above_threshold_0,mem_inst_retired.latency_above_threshold_1024,mem_inst_retired.latency_above_threshold_128,mem_inst_retired.latency_above_threshold_16,mem_inst_retired.latency_above_threshold_16384,mem_inst_retired.latency_above_threshold_2048,mem_inst_retired.latency_above_threshold_256,mem_inst_retired.latency_above_threshold_32,mem_inst_retired.latency_above_threshold_32768,mem_inst_retired.latency_above_threshold_4,mem_inst_retired.latency_above_threshold_4096,mem_inst_retired.latency_above_threshold_512,mem_inst_retired.latency_above_threshold_64,mem_inst_retired.latency_above_threshold_8,mem_inst_retired.latency_above_threshold_8192,mem_inst_retired.loads,mem_inst_retired.stores,store_blocks.at_ret,store_blocks.l1d_block,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),total_memory
0.5974,1071217315,42378123,3040892,32992526,4551947180,5266457444,,4215704404,1405607249,1948536871,0,0,3238,1700.07,588,0,0,0,139865,139865,1704.40,38603429,1466496336,5754802,10493514,10306063,663809772,68806166,2213574478,584846,13549713,397495,5503659,1522732,17397789,834314524,893980051,7773915,1180128963,533685,557698518,1414443,3786233174,101987,589148,94538,392705,85713,1255385,0,4515136522,4261263419,0,4276387810,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,59678595,0,16378195,10488150,16060117,41359959,200193,3378918,31500554,29036859,6183437,5695251,5883882,18245469,0,46139175,7399644,15276143,10040015,37147926,4636347,1121937,6880346,1298520,10406938,502144,52027355,25656440,26555903,41473700,27329408,3577722,9717411,2050292,30561148,13401660,42988172,19826085,16605300,37107012,55593228,4968626,12874705,18027480,114911500,5685479,10442828,16577302,213475461,43528896,45652492,20637897,30154924,16960812,13660228,4632363,417,22630,8737,8841,29585,11019,3451885,8311823,3000820,11355276,163047,5797444,32950241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475934183,665051019,4720241,15560605,simsmall,2024-04-14 03:10:10.004742,parsec,freqmine_simsmall_t1_crackle1,freqmine,1,0.02,0.04,99.9,10.14,1.0,crackle1,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.191,5054.38,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
0.37279999999999996,1027399757,39074154,3635527,34757974,4478695598,4863770414,,4171227707,1566388278,2103002464,0,0,3158,1692.26,589,0,0,0,139591,139591,1696.58,46991283,1337747722,3667678,13136443,14588755,560000651,76851857,1888479832,975791,14219537,757479,6762250,4903648,27584575,737722579,831254305,7982572,1156691949,543312,597287509,1272925,3859101569,155143,904900,86124,500029,91049,3312795,0,4499757189,4239974381,0,4256607265,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,62921284,0,18529280,12575354,17426430,41947466,206927,4734868,20975201,21210524,5718703,5296600,5191853,15816869,0,38499955,3288273,13713929,5472216,29113930,6022401,933861,7718591,850941,9493468,750893,45573790,15381518,28229875,37584220,25048514,2986565,9066190,1023608,30669167,14240624,42180069,17323692,15171727,32363456,52310209,4381317,13038204,17065207,104485541,2874500,8852864,11758145,174252558,36416240,43672103,14733735,31415020,16464333,11403960,3620270,315,23091,8513,8159,25824,9329,3094905,8528569,2485024,12018552,248889,6222043,35567209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364040566,585786861,5337235,16707405,simsmall,2024-04-14 03:10:36.821220,parsec,freqmine_simsmall_t2_crackle1,freqmine,2,0.06,0.04,99.85,10.12,1.6024678111587984,crackle1,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.191,5054.38,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
0.25760000000000005,979818704,33197718,5789731,38347532,4626772765,5241470296,,4303458885,1575472062,2074773359,0,0,3268,1740.19,594,0,0,0,141502,141502,1744.57,41594848,1564055212,3335423,11292752,10224664,850032214,66086202,2098385838,737312,15967470,256246,4168324,1736487,16040592,733138649,924175665,7433531,1300132971,478789,648950117,1473773,4180845872,70861,592798,72873,379466,69584,1217182,0,4608521452,4356308911,0,4377755731,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,54625090,0,14801394,8803757,14633883,44604934,219747,5905664,19335030,19455950,5255056,5907805,5510551,16588849,0,40271942,3266765,15157142,6008090,30622467,6090664,800451,8192661,954716,11422280,751269,51557987,22049591,32111521,43977560,27366943,3620086,10654131,1491087,29726293,12727914,40720005,16368464,14615844,30243600,50958061,4363378,13706000,17958234,104117632,2413918,8070515,10790444,193624031,41985831,46898131,17100533,27056315,16450331,9231909,3437040,114,16731,8142,6348,26336,12128,2971779,8020902,2270907,13304451,197129,8294628,40938828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377009529,686354880,4893724,17487588,simsmall,2024-04-14 03:11:02.481598,parsec,freqmine_simsmall_t4_crackle1,freqmine,4,0.02,0.06,99.85,10.14,2.319099378881987,crackle1,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.191,5054.38,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
0.2562,1060059249,34027376,7586797,37086737,4868294482,5363923964,,4620868824,1702446061,2242280474,0,0,3187,1861.03,592,0,0,0,142458,142459,1865.40,45584626,1558835130,3503936,12600293,10603088,731814913,58976414,2346338829,637500,15542063,386701,5687774,1340378,15339414,923197856,1013977928,7767213,1421509147,440237,631306164,1096384,4358482887,122025,647354,96678,443767,78996,1789716,0,4886629014,4666285700,0,4683094834,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,68436084,0,16555469,11017648,18507246,47312207,272884,4534403,15287351,16650231,6292871,6744876,4956600,19150594,0,43230792,3997723,16228168,6027135,32588515,6688133,1012252,8742352,636747,10153268,697520,59386435,21008371,39408226,47544802,33068002,3904377,10506333,1077479,46054872,21991510,69005298,17005685,17095564,32951301,67371546,5075758,16256780,21195530,127740168,3608842,11195246,13424001,210593997,42884477,58897737,19885767,29591531,17345910,13469612,4050532,442,24484,8896,10027,31883,13827,3734364,14170944,2062981,17537972,237770,12533168,39897900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1531668197,751496552,4322375,18941839,simsmall,2024-04-14 03:11:27.043053,parsec,freqmine_simsmall_t8_crackle1,freqmine,8,0.04,0.04,99.87,10.14,2.3317720530835286,crackle1,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.191,5054.38,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
0.22440000000000002,938213365,36278873,8841040,33813079,6104360740,5218026825,,5795329373,1908537939,3667680101,0,0,3320,2345.88,602,0,0,0,146902,146903,2350.36,44580742,1513917728,4825956,15385350,11892300,681064934,64390032,2227655127,976397,18043908,523375,7155619,1345429,15484916,917111290,984334015,7853781,1384831899,500420,700878796,1332435,4921112724,103907,800893,96289,482885,83290,2575500,0,6169095233,5891991608,0,5907873479,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,76934153,0,21256340,13008863,21453997,59781844,318203,5531582,14973241,15080086,7683360,9167900,7903036,24654812,0,57820401,6595287,20459892,7079819,42248595,8494932,1007969,7763909,628217,10284405,922559,78062833,30144789,50467775,64974181,45932425,5072244,12762888,1209081,58638462,27492393,82404100,21672909,21341796,42854923,83582335,6333772,16713269,21324229,158053433,5367990,14727793,18781999,269640150,57662474,78510285,27354162,43759184,26961327,19537233,5312735,452,31838,15254,13683,51428,16452,3799406,13351763,3174058,19201110,241583,11161480,39431897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203679086,560545216,3528558,24705743,simsmall,2024-04-14 03:11:51.693334,parsec,freqmine_simsmall_t16_crackle1,freqmine,16,0.06,0.1,99.79,10.13,2.662210338680927,crackle1,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.191,5054.38,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
0.2904,1009636486,49447047,4322969,41397729,5568183490,5289556170,,5266746498,1774972678,2973539106,0,0,3916,2138.04,903,0,0,0,148886,148887,2143.27,56693622,1610913080,3012573,14213849,14053334,784661260,99092499,2194981529,1162770,18590449,436905,6981780,2343426,25344856,812383515,1011323982,11402962,1429729634,925556,742852931,1980783,4006173302,164114,874872,93322,319362,144773,2165840,0,5606316766,5363555025,0,5379554411,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,93219714,0,20681895,13265538,21479092,55596969,349393,4117488,9915590,10722476,7223826,9014265,5634431,22185623,0,49306845,4770718,19589322,6338470,37985382,7966652,863070,7344686,604934,9466077,883195,72838124,24982339,48886656,59723692,41396433,4582218,13001548,1604896,49340296,23592270,74995461,20418096,20453961,40340921,78879757,6050135,16354855,22894521,159808542,3369594,17115398,19799650,256235596,49157004,59183994,28715638,35099081,20511273,19210729,5897672,450,25846,15087,8881,38073,12568,5280795,13142916,3886134,18534551,154659,11996144,33160842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471547900,698582751,3884357,22636472,simsmall,2024-04-14 03:12:16.277576,parsec,freqmine_simsmall_t32_crackle1,freqmine,32,0.06,0.06,99.83,10.13,2.0571625344352618,crackle1,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.191,5054.38,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
0.3174,1063898254,47796431,5641342,51624007,6081392007,5641421103,,5712071189,2036300367,3374881155,0,0,4615,2319.79,1279,0,0,0,159140,159140,2325.73,82761521,1584353672,3198985,9568036,31499689,818664023,106721990,2126236471,1875263,27748908,384369,6968744,3015591,35278634,813799606,1042805109,15203947,1490070040,1360354,777867303,2166951,4430429952,395787,2996874,49513,457098,135033,3255834,0,6095920678,5817932503,0,5835087110,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,106868152,0,29833078,17461690,27250776,81174262,329170,7045131,22583347,28503234,10106279,9318850,7054402,28270193,0,68105014,10595574,23681300,7024067,44008253,8423060,1384907,9363464,655141,11741435,908291,77578460,28390677,49125539,60963839,41607500,4561161,13802072,1467535,52505583,26028411,81913117,20565712,21131173,41859361,82473416,6670425,19801099,26424783,175931169,4230868,18581292,24134326,309035686,59553334,75641196,27491176,40491218,22779964,20825453,6357396,866,38443,17279,12991,52464,21923,3957074,19999245,2596089,21819070,251569,15521176,42054389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515581199,732051989,4988028,27702299,simsmall,2024-04-14 03:12:41.342504,parsec,freqmine_simsmall_t64_crackle1,freqmine,64,0.04,0.04,99.87,10.13,1.882167611846251,crackle1,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.191,5054.38,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
0.4446,1154423527,45753110,11387368,57075459,6716136009,6334917708,,6296849898,2275733324,3731488514,0,0,5995,2557.65,1881,0,0,0,178517,178517,2565.46,119824002,1849029831,4635980,11153856,29431281,932523264,122322794,2429823096,2479293,35291903,571892,7318565,2945992,43966482,888333866,1151362825,15872800,1651348358,1433394,869346426,2407850,5039263641,512884,1792777,57215,431025,146540,2780968,0,6729996378,6411856787,0,6427725115,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,125704203,0,41431818,34534317,43431113,96107834,340285,4426635,19653158,21075343,23070713,10236946,7829273,40141696,0,69444594,5569839,37450848,8631547,60925868,8294124,1646795,10652939,653892,12221208,940174,99089462,45571725,52546945,80403148,45972867,20439826,14535748,1421996,59564331,28008649,84823056,22702142,39150237,62419380,105200778,6557448,22479572,28421813,212330293,18921458,19296163,37076249,395947000,78594597,83321516,46338328,57245994,27417304,39204542,17282537,815,45183,18899,16983,58053,22109,10374773,27073506,3122025,32899491,272368,21425490,57732008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709210903,813748984,4786354,85459150,simsmall,2024-04-14 03:13:06.363273,parsec,freqmine_simsmall_t128_crackle1,freqmine,128,0.04,0.04,99.87,10.14,1.3436797121007649,crackle1,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.191,5054.38,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
