compute_time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,,stalled-cycles-backend,stalled-cycles-frontend,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-icache-load-misses,L1-icache-loads,L1-icache-prefetches,LLC-load-misses,LLC-loads,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,msr/aperf/,msr/mperf/,msr/tsc/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),NUMA node2 CPU(s),NUMA node3 CPU(s),NUMA node4 CPU(s),NUMA node5 CPU(s),NUMA node6 CPU(s),NUMA node7 CPU(s),total_memory
3.407,1529611308.0,42877782.0,27691051.0,160914670.0,13113475592.0,7177707639.0,,6129951614.0,1779051570.0,0.0,0.0,7857.0,5652.24,1451.0,0.0,0.0,0.0,152054.0,152056.0,5659.04,77486243.0,4717844830.0,5028.0,73778060.0,52615965.0,3406873180.0,344703.0,27643733.0,144196619.0,44948572.0,42419729.0,1567668521.0,5459064.0,4701607740.0,313247.0,3384297584.0,13437884432.0,11847484411.0,11846615765.0,simsmall,2024-04-13 05:35:41.369140,parsec,canneal_simsmall_t1_crunchy1,canneal,1,0.03,0.02,99.95,3.92,1.0,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
3.005,1371076119.0,43104789.0,29134807.0,164979559.0,12863518924.0,6903441438.0,,6299653266.0,1743401448.0,0.0,0.0,6189.0,5530.66,1538.0,0.0,0.0,0.0,152555.0,152557.0,5537.42,75075906.0,4603032826.0,5327.0,72616462.0,49117669.0,3316035744.0,322092.0,26648190.0,141845902.0,46793083.0,42940871.0,1400484129.0,5485918.0,4529069342.0,316151.0,3240346453.0,13196451875.0,11592487656.0,11591281629.0,simsmall,2024-04-13 05:36:23.592788,parsec,canneal_simsmall_t2_crunchy1,canneal,2,0.03,0.03,99.95,3.91,1.133777038269551,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
2.754,1357080147.0,39828247.0,27509835.0,156468264.0,12621540162.0,6858875118.0,,6534956237.0,1631185011.0,0.0,0.0,5068.0,5413.98,1588.0,0.0,0.0,0.0,152807.0,152808.0,5420.81,76296546.0,4411919424.0,4936.0,71633364.0,49149109.0,3159095487.0,324278.0,28527941.0,144409009.0,46315531.0,40241426.0,1396902204.0,5325556.0,4433375960.0,308173.0,3151799275.0,12947346032.0,11347267637.0,11345822893.0,simsmall,2024-04-13 05:37:03.519655,parsec,canneal_simsmall_t4_crunchy1,canneal,4,0.05,0.07,99.88,3.91,1.2371096586782862,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
2.647,1366263325.0,41465613.0,27482979.0,157837152.0,13013233487.0,6949141453.0,,6744710303.0,1636623542.0,0.0,0.0,5757.0,5575.26,1579.0,0.0,0.0,0.0,152549.0,152550.0,5582.31,76917097.0,4388567701.0,7432.0,71254326.0,49371246.0,3237050828.0,324164.0,27383839.0,143085502.0,46422463.0,41002901.0,1432349109.0,5670366.0,4509945138.0,309287.0,3221653616.0,13323473673.0,11685413202.0,11684152105.0,simsmall,2024-04-13 05:37:41.950075,parsec,canneal_simsmall_t8_crunchy1,canneal,8,0.03,0.02,99.95,3.91,1.2871174914998111,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
2.582,1329965341.0,42401226.0,29266885.0,162135066.0,13153364471.0,6906744193.0,,6608101451.0,1708793994.0,0.0,0.0,6339.0,5668.6,1618.0,0.0,0.0,0.0,152110.0,152111.0,5676.12,77242991.0,4546587305.0,7706.0,73425989.0,48163983.0,3321841735.0,319492.0,26119723.0,143677979.0,45445810.0,40815013.0,1431218170.0,5318641.0,4498724392.0,314958.0,3179374835.0,13536441698.0,11879458454.0,11878071259.0,simsmall,2024-04-13 05:38:19.985430,parsec,canneal_simsmall_t16_crunchy1,canneal,16,0.05,0.07,99.89,3.91,1.3195197521301318,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
2.573,1350979378.0,40088023.0,28641629.0,158364850.0,13160449620.0,6786129889.0,,6624235266.0,1679290004.0,0.0,0.0,6446.0,5666.56,1634.0,0.0,0.0,0.0,152495.0,152496.0,5674.67,78910571.0,4496095669.0,6875.0,74436515.0,50368178.0,3222080375.0,372634.0,27968485.0,148313400.0,47017110.0,39879473.0,1435413417.0,5208285.0,4427108244.0,328928.0,3117752735.0,13557171018.0,11872911616.0,11871120627.0,simsmall,2024-04-13 05:38:57.630596,parsec,canneal_simsmall_t32_crunchy1,canneal,32,0.02,0.02,99.96,3.92,1.32413525068014,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
2.873,1340298493.0,39958708.0,30483417.0,159987818.0,14422025893.0,6858676292.0,,6226089405.0,1918309692.0,0.0,0.0,8854.0,6233.15,1995.0,0.0,0.0,0.0,152472.0,152474.0,6243.79,81281189.0,4635052824.0,9419.0,75927688.0,48134690.0,3297720828.0,319003.0,30584707.0,147484425.0,51763214.0,41067816.0,1398348051.0,5991562.0,4494678146.0,336024.0,3176307892.0,14897313016.0,13053994997.0,13051762274.0,simsmall,2024-04-13 05:39:35.103256,parsec,canneal_simsmall_t64_crunchy1,canneal,64,0.06,0.07,99.87,3.92,1.1858684302123215,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
2.604,1710500588.0,45893961.0,33004359.0,179941047.0,15888457361.0,7763534888.0,,6292128397.0,2183134452.0,0.0,0.0,15132.0,6958.66,2809.0,0.0,0.0,0.0,152683.0,152685.0,6972.71,81612591.0,4715445564.0,14250.0,75253276.0,51564860.0,3450304316.0,342544.0,30747421.0,154214645.0,50664994.0,44313246.0,1646179749.0,6161556.0,4941403718.0,370883.0,3640192425.0,16547868583.0,14566888919.0,14564369586.0,simsmall,2024-04-13 05:40:12.977279,parsec,canneal_simsmall_t128_crunchy1,canneal,128,0.02,0.03,99.95,3.92,1.3083717357910907,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
