compute_time,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,,ref-cycles,stalled-cycles-frontend,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,mem-loads,mem-stores,msr/aperf/,msr/mperf/,msr/smi/,msr/tsc/,power/energy-cores/,power/energy-pkg/,power/energy-ram/,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,CPU max MHz,CPU min MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),total_memory
0.6773999999999999,857378826,20326541,164314785,5699006,34694013,4245439656,5404005015,,4599486725,2388489534,0,0,3162,1719.81,568,0,0,0,138123,138124,1724.09,40359601,1458009646,9250635,15798837,524155089,31225972,2029536,14564647,2575492,11713453,3789859,8471890,20256796,834820947,4580070,1410384399,1043810,503386709,1158572,621705,1769007,2168482,1917475,2347033,1320573,4166568,0,447434833,4333941430,4726047582,3,4793306205,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 21:48:14.665460,parsec,fluidanimate_simmedium_t1_snappy4,fluidanimate,1,0.08,0.1,99.82,5.6,1.0,snappy4,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,3358.666,3600.0000,1200.0000,5599.85,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
0.502,813332299,23569973,170101665,5928460,36365578,4317457957,5210160042,,4798765797,2446853147,0,0,3226,1809.38,552,0,0,0,142448,142450,1813.58,41396124,1490521190,9128230,16787934,546081385,31719143,2168242,14787231,2902240,13965012,3952369,8578095,22621492,867354490,4665220,1450376228,1087642,523531777,1364023,745585,1655914,2306759,1423415,2058000,997540,4073268,0,448401505,4438026894,4968723512,3,5044419204,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 21:48:40.478177,parsec,fluidanimate_simmedium_t2_snappy4,fluidanimate,2,0.08,0.08,99.83,5.6,1.3494023904382468,snappy4,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,3358.666,3600.0000,1200.0000,5599.85,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
0.3782,917379951,24401181,176326797,5473245,36686526,4471448247,5559016324,,4912343936,2491586689,0,0,3300,1851.82,575,0,0,0,146831,146832,1856.07,43346668,1486216761,9372658,17459146,554795036,32213490,1946593,15110275,1348600,13287193,3674657,9362297,22323008,889651816,4573110,1500881355,1092069,538369378,1243182,937186,1244899,2336851,766323,1330961,847050,4164265,0,500533802,4519708141,5082512410,4,5162803370,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 21:49:05.421302,parsec,fluidanimate_simmedium_t4_snappy4,fluidanimate,4,0.1,0.1,99.8,5.6,1.79111581173982,snappy4,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,3358.666,3600.0000,1200.0000,5599.85,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
0.362,936848688,28621524,195895645,7927368,40332280,4837388582,5549458025,,5487718103,2757058260,0,0,3421,2064.32,563,0,0,0,155197,155198,2068.63,44953219,1579085596,9958976,18537584,600389107,31443482,2861096,16769436,2069680,13508700,2973454,8610522,29859884,997201157,5011407,1654144136,1228754,612407226,1183058,921975,1572821,2771313,1660313,2771094,1016213,5431574,0,541355130,4951442813,5678255993,3,5757154338,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 21:49:29.728297,parsec,fluidanimate_simmedium_t8_snappy4,fluidanimate,8,0.32,0.37,99.28,5.61,1.871270718232044,snappy4,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,3358.666,3600.0000,1200.0000,5599.85,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
0.3222,1035622786,29469455,207749036,7643913,39957018,5205540642,6204445725,,5798244553,2953899144,0,0,3917,2177.97,651,0,0,0,162603,162604,2182.50,45699729,1735625448,10402616,18380432,668660148,32679198,2990346,17535978,2801324,14946367,4985935,10707118,30336995,1039300286,5353397,1701598313,1282296,678574715,1176056,1325249,1853179,3871364,1439100,3066557,965117,5233220,0,597089568,5370359675,5988000377,6,6075067056,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 21:49:53.776095,parsec,fluidanimate_simmedium_t16_snappy4,fluidanimate,16,0.18,0.58,95.06,5.63,2.1024208566108005,snappy4,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,3358.666,3600.0000,1200.0000,5599.85,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
0.3867999999999999,1250292419,32621314,222785875,10518963,44744804,6431280867,7300779122,,6225293832,3817506216,0,0,6095,2332.13,1710,0,0,0,175848,175849,2337.28,52584651,2116324753,12361607,22276566,844690331,35166135,4581872,21494463,3649548,14520682,5862942,11270306,34212334,1209186537,6149559,1951464598,1440484,798454370,1582883,1686334,3262701,5413815,2488901,4031846,1447735,6804083,0,734801164,6554626687,6415828055,2,6502801848,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 21:50:17.418262,parsec,fluidanimate_simmedium_t32_snappy4,fluidanimate,32,0.53,1.07,95.51,5.62,1.75129265770424,snappy4,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,3358.666,3600.0000,1200.0000,5599.85,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
0.4588,1535936852,36491505,258944289,13578262,51647783,7763495584,8441522304,,7256843159,4803045536,0,0,10277,2709.39,3204,0,0,0,191366,191367,2715.61,60709071,2383306035,13085779,30055930,1040761801,44443074,6205311,25532111,4881347,15981054,6495583,11275121,33998164,1578186738,5836012,2565961140,1358873,1001138868,1908825,1773855,2883884,5158163,2684605,4606872,1685184,8429745,0,943159557,7990735435,7459131024,4,7554006031,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 21:50:41.198432,parsec,fluidanimate_simmedium_t64_snappy4,fluidanimate,64,0.33,0.8,98.67,5.61,1.4764603312990408,snappy4,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,3358.666,3600.0000,1200.0000,5599.85,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
0.6786,2047058565,42582261,381071643,19857079,73293116,10716132518,10506037160,,10694261509,6968675864,0,0,19047,4009.89,6416,0,0,0,221826,221827,4020.85,77329648,3192550975,14775067,33431426,1397858669,41049139,8539301,32432635,5443187,18975957,14506596,22048807,39117300,2065468166,8231281,3265077222,2096150,1362346780,1843553,2777374,4347358,8261185,3019655,5470227,1883682,12020068,0,1330674814,11179759464,11075146847,13,11169228633,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-16 21:51:04.891324,parsec,fluidanimate_simmedium_t128_snappy4,fluidanimate,128,0.25,0.48,99.2,5.61,0.998231653404067,snappy4,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,3358.666,3600.0000,1200.0000,5599.85,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
