compute_time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,,stalled-cycles-backend,stalled-cycles-frontend,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-icache-load-misses,L1-icache-loads,L1-icache-prefetches,LLC-load-misses,LLC-loads,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,msr/aperf/,msr/mperf/,msr/tsc/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),NUMA node2 CPU(s),NUMA node3 CPU(s),NUMA node4 CPU(s),NUMA node5 CPU(s),NUMA node6 CPU(s),NUMA node7 CPU(s),total_memory
3.2247999999999997,2152216782.0,107307879.0,19760983.0,145283729.0,12061421094.0,10979413753.0,,2755980949.0,1979300392.0,0.0,0.0,5497.0,5171.61,1196.0,0.0,0.0,0.0,145238.0,145239.0,5177.95,68361550.0,5718553774.0,5367.0,84257992.0,44471324.0,4763878078.0,547963.0,18298110.0,127845470.0,32208301.0,107007484.0,2187511382.0,889394.0,5820135069.0,303635.0,4812504500.0,12346768763.0,10838930830.0,10837701570.0,simmedium,2024-04-16 02:27:09.017741,parsec,freqmine_simmedium_t1_crunchy1,freqmine,1,8.49,0.08,91.43,12.56,1.0,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
1.8104,2093418861.0,100970231.0,19006742.0,135036588.0,11954171249.0,11019634524.0,,2834936856.0,1871155518.0,0.0,0.0,5040.0,5111.19,1392.0,0.0,0.0,0.0,146445.0,146447.0,5117.88,69791487.0,5754739108.0,4453.0,85085904.0,39687657.0,4732164827.0,517615.0,18325740.0,129378366.0,33864819.0,99837564.0,2124243391.0,951870.0,5668622530.0,323121.0,4673267570.0,12223377516.0,10711236608.0,10709859139.0,simmedium,2024-04-16 02:27:51.966720,parsec,freqmine_simmedium_t2_crunchy1,freqmine,2,0.04,0.04,99.92,6.69,1.7812638091029604,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
1.0968,2231879666.0,98918918.0,19118657.0,136113340.0,12291066452.0,11331772013.0,,2961651557.0,1922106315.0,0.0,0.0,6141.0,5279.28,1621.0,0.0,0.0,0.0,145414.0,145415.0,5286.08,72409778.0,5777489645.0,6531.0,84695954.0,38731988.0,4774197997.0,509693.0,18001508.0,127912202.0,31615645.0,97324976.0,2242409712.0,963990.0,5911825112.0,330482.0,4834187031.0,12593029337.0,11063914529.0,11062848106.0,simmedium,2024-04-16 02:28:28.003465,parsec,freqmine_simmedium_t4_crunchy1,freqmine,4,0.03,0.03,99.94,6.69,2.9401896425966445,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.8724000000000001,2142780154.0,99564252.0,20416481.0,139321124.0,12245489507.0,11218981902.0,,3028642399.0,1855046213.0,0.0,0.0,5362.0,5243.65,1575.0,0.0,0.0,0.0,146511.0,146512.0,5250.52,72086056.0,5838305452.0,4550.0,89389591.0,39270802.0,4715261879.0,533953.0,19075875.0,133069122.0,32176650.0,97166030.0,2187919187.0,964582.0,5777576486.0,321386.0,4710799651.0,12535755485.0,10989303946.0,10987858122.0,simmedium,2024-04-16 02:29:00.798233,parsec,freqmine_simmedium_t8_crunchy1,freqmine,8,0.05,0.06,99.89,6.69,3.6964695093993574,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.85,2330222459.0,100037271.0,21030833.0,144343683.0,12830857306.0,11790881541.0,,3432908460.0,1973132805.0,0.0,0.0,5719.0,5480.35,1590.0,0.0,0.0,0.0,148868.0,148869.0,5487.44,77582246.0,5932382235.0,7117.0,88370119.0,41743159.0,4688899737.0,629529.0,19382901.0,138032132.0,34616103.0,94322034.0,2293427046.0,957381.0,5940391821.0,328425.0,4890580885.0,13096352227.0,11485538329.0,11484107881.0,simmedium,2024-04-16 02:29:32.666736,parsec,freqmine_simmedium_t16_crunchy1,freqmine,16,0.05,0.06,99.89,6.7,3.7938823529411763,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
0.9352,2282755619.0,95734262.0,21574652.0,166135177.0,14400851195.0,11700711035.0,,4194309877.0,2014318332.0,0.0,0.0,5406.0,6209.24,1629.0,0.0,0.0,0.0,160292.0,160294.0,6216.81,91762905.0,6045750744.0,5356.0,92361122.0,38096204.0,5130478042.0,602363.0,21891182.0,150593396.0,36428078.0,100568009.0,2426672892.0,1128649.0,6191799306.0,358913.0,4741119027.0,14725530547.0,13008894042.0,13013157344.0,simmedium,2024-04-16 02:30:03.734012,parsec,freqmine_simmedium_t32_crunchy1,freqmine,32,0.03,0.05,99.93,6.71,3.4482463644140284,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
1.1094000000000002,2713518700.0,98182453.0,26289677.0,191753350.0,18845262882.0,13382961720.0,,4308501996.0,2677066215.0,0.0,0.0,6732.0,8259.57,1777.0,0.0,0.0,0.0,169260.0,169262.0,8268.24,116930706.0,6778732961.0,9359.0,97570342.0,45578195.0,5345722855.0,1075016.0,25392557.0,186892614.0,42850932.0,97313721.0,2708156639.0,1144530.0,6709872049.0,342624.0,5079047932.0,19423284954.0,17307302433.0,17315434696.0,simmedium,2024-04-16 02:30:35.170678,parsec,freqmine_simmedium_t64_crunchy1,freqmine,64,0.06,0.09,99.85,6.7,2.9067964665584993,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
1.4764000000000002,2327188267.0,102411504.0,31887286.0,270176676.0,18262113912.0,12426727879.0,,5015978525.0,2634201471.0,0.0,0.0,8814.0,8093.42,2666.0,0.0,0.0,0.0,182752.0,182753.0,8105.19,183919629.0,6374594061.0,10550.0,102154310.0,43034816.0,4829812063.0,1612326.0,29360216.0,246757594.0,50716299.0,95705934.0,2313736319.0,1230882.0,6098788294.0,338190.0,4867236051.0,19091363388.0,16951837182.0,16956946220.0,simmedium,2024-04-16 02:31:07.550636,parsec,freqmine_simmedium_t128_crunchy1,freqmine,128,0.03,0.03,99.94,6.7,2.184231915470062,crunchy1,x86_64,"32-bit, 64-bit",Little Endian,64,0-63,2,8,4,8,AuthenticAMD,21,1,AMD Opteron(TM) Processor 6272,2,2100.099,4200.19,AMD-V,16K,64K,2048K,6144K,0-7,8-15,32-39,40-47,48-55,56-63,16-23,24-31,256 GiB
