compute_time,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-store-misses,node-stores,mem-loads,mem-stores,msr/aperf/,msr/mperf/,msr/smi/,msr/tsc/,power/energy-cores/,power/energy-pkg/,power/energy-ram/,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_4/cas_count_read/,uncore_imc_4/cas_count_write/,uncore_imc_4/clockticks/,uncore_imc_5/cas_count_read/,uncore_imc_5/cas_count_write/,uncore_imc_5/clockticks/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,CPU max MHz,CPU min MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),total_memory
1.4348,1300466424,26096200,248283483,3651322,62946665,6185932532,6477547227,6211323950,0,0,3077,2586.65,567,0,0,0,143606,143607,2590.15,68152394,2095513165,1383125972,17522647,2629159,34873269,926414,5745531,26311039,1246827100,8772604,2110329028,792173,1393875131,936505,873790,1758005,826422,410671,515528,0,1466103983,6385952962,6410669063,0,6450389679,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 06:23:52.037275,parsec,canneal_simsmall_t1_cuda1,canneal,1,0.06,0.1,99.85,4.12,1.0,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
1.3394,1265474547,25788270,260527858,4911615,64399880,6414404917,6708581208,6508380581,0,0,3126,2704.21,573,0,0,0,143430,143431,2707.71,70428779,2187984385,1446377116,17165481,2669669,36157916,1883648,5772176,26545631,1257692915,8708665,2110796736,765748,1383268973,957809,885546,1702652,945279,1410033,494208,0,1404653914,6509411244,6704814434,0,6744268095,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 06:24:21.755541,parsec,canneal_simsmall_t2_cuda1,canneal,2,0.06,0.12,99.82,4.12,1.0712259220546514,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
1.2948,1264644954,27197506,275446828,4566915,64879233,6288120043,6595227040,6905888656,0,0,3160,2858.04,586,0,0,0,143624,143625,2861.71,69593510,2125790482,1410039717,17493458,2760096,35813593,1750589,5816182,26014199,1253411057,8615627,2109260309,706211,1387323734,2189083,866878,1689864,1008658,1289097,474953,0,1415373895,6405559957,7101456150,0,7127915139,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 06:24:51.114278,parsec,canneal_simsmall_t4_cuda1,canneal,4,0.12,0.12,99.65,4.12,1.1081248069199878,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
1.2078000000000002,1261353721,26355227,270482025,4732122,64729229,6263501102,6519795859,6786934425,0,0,3387,2823.23,580,0,0,0,143434,143435,2826.87,70066158,2122589028,1410770619,17708886,2717568,36105850,1999940,5944660,26105032,1231457056,8245901,2060233204,695447,1380656824,957443,851414,1726641,1096284,1508860,482134,0,1426622944,6453344103,7002212703,0,7041306540,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 06:25:20.899551,parsec,canneal_simsmall_t8_cuda1,canneal,8,0.06,0.07,99.87,4.13,1.1879450240105975,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
1.1764,1265155557,26114874,283102314,4964269,64191950,6228282223,6586590203,7084751660,0,0,3682,2942.62,603,0,0,0,143564,143566,2946.55,69325164,2148233516,1416002154,17316201,2837968,35271949,1794506,5777776,26350311,1292436440,8635525,2160043402,807634,1434035863,965248,893465,1589693,973810,1232174,522745,0,1413087919,6446682049,7301819817,0,7337855351,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 06:25:49.480928,parsec,canneal_simsmall_t16_cuda1,canneal,16,0.03,0.1,99.87,4.13,1.2196531791907517,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
1.1894,1370830716,28820312,276645755,4642647,66355273,6465546581,6691554531,6933228863,0,0,4882,2890.51,1136,0,0,0,143506,143507,2895.44,69863215,2120260574,1402816808,17246010,3105589,37194691,2300059,6533348,25840439,1225411733,8993998,2139494846,776056,1410783591,1303536,927016,1844642,964109,1005136,521560,0,1502494246,6559457653,7161710873,0,7203995464,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 06:26:18.982988,parsec,canneal_simsmall_t32_cuda1,canneal,32,0.06,0.1,99.85,4.13,1.206322515554061,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
1.2128,1368856551,29871905,288904811,4344610,70862447,6726634482,6997439860,7254910528,0,0,6838,3011.36,1425,0,0,0,143653,143654,3017.24,74775153,2224244663,1505658108,19439824,2900115,37152182,2212318,6275936,25381902,1168863111,8852824,2053446435,788538,1360565877,968839,890199,1888562,1019464,1257381,474550,0,1496297006,6605466248,7463504581,0,7501799073,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 06:26:47.224000,parsec,canneal_simsmall_t64_cuda1,canneal,64,0.08,0.07,99.85,4.13,1.1830474934036939,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
1.2826,1292769439,28258596,291472674,5095436,73397952,6912585306,7124645322,7329560018,0,0,10937,3046.51,1392,0,0,0,143957,143958,3054.23,78498945,2266420461,1538198302,20894248,3018754,39255646,1573910,5711816,29054527,1318504871,9318165,2111632038,748079,1385019352,1034262,819401,2284380,1031330,1996082,430839,0,1441057645,6796204296,7538777796,0,7580884668,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-16 06:27:17.698551,parsec,canneal_simsmall_t128_cuda1,canneal,128,0.07,0.08,99.85,4.13,1.118665211289568,cuda1,x86_64,"32-bit, 64-bit",Little Endian,24,0-23,1,12,2,2,GenuineIntel,6,63,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,2,1199.951,3300.0000,1200.0000,4999.75,VT-x,32K,32K,256K,30720K,"0,2,4,6,8,10,12,14,16,18,20,22","1,3,5,7,9,11,13,15,17,19,21,23",256 GiB
