compute_time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,,ref-cycles,stalled-cycles-backend,stalled-cycles-frontend,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-loads,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,mem-loads,msr/aperf/,msr/mperf/,msr/smi/,msr/tsc/,uncore/clockticks/,uncore/qhl_request_ioh_reads/,uncore/qhl_request_ioh_writes/,uncore/qhl_request_local_reads/,uncore/qhl_request_local_writes/,uncore/qhl_request_remote_reads/,uncore/qhl_request_remote_writes/,uncore/qmc_normal_reads_any/,uncore/qmc_writes_full_any/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),total_memory
4.3256266,5292085621,12520205,6207720,9244601,16182048929,32917850250,,14650389204,1219954739,1375694414,0,0,16,5864.75,3,0,0,0,5653,5653,5864.76,52475304,8797209114,45618554,1481736,3760787,1390723494,4987725,13714784712,4092727,4959222,41339502,42704747,1868926,6908204,4578646910,5295229760,530083,8836790056,58623,1383604590,11731,33085777119,969846,3780634,6203935,41604690,10705,1965235,0,16375733397,14819038640,0,14820910104,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,U,2024-04-15 07:36:38.132556,rodinia,kmeans_U_t1_crackle3,kmeans,1,0.04,0.06,99.85,10.57,1.0,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
4.222632,5300479812,26921447,60595473,66456951,27529509959,33208428251,,24917371192,6197209612,12381706241,0,0,30,9972.95,8,0,0,0,5352,5352,9972.96,114491309,8837535555,66806399,2847803,20599292,1394047544,6788226,13905486397,30427315,33427937,54292727,56832253,19081652,24611420,4652539694,5296787642,580066,8809924157,77020,1385834867,15754,32992275812,3006765,31971459,9765612,55815176,8014943,18466870,0,27847094938,25199716415,0,25202820893,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,U,2024-04-15 07:37:23.720217,rodinia,kmeans_U_t2_crackle3,kmeans,2,0.13,0.17,99.67,10.57,1.0243910906751996,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
2.2794122000000003,5319569858,27290439,50490767,87413471,29016591506,32871194538,,26345155951,8332644542,14058855948,0,0,67,10580.82,8,0,0,0,3855,3855,10580.85,142696659,8823892144,90087366,4734975,9847434,1395051003,6723844,13912846736,26604370,58050266,86634762,121145441,6509771,13724468,4709305058,5355985215,615717,8834922341,50003,1388443724,39455,33338772728,4362449,27420626,20281851,87102663,3802241,8213824,0,29360283696,26660331997,0,26739018192,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,U,2024-04-15 07:38:08.808637,rodinia,kmeans_U_t4_crackle3,kmeans,4,0.04,0.04,99.9,10.57,1.8976938879242635,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
1.6151442,5416581825,25368612,43658882,86985465,35813437539,33554662031,,33800569741,11729557022,20635743795,0,0,196,13537.61,16,0,0,0,3889,3889,13537.72,136861688,8924920790,85459504,33747320,14636855,1392915053,7966822,13932774478,26025373,65017052,82657563,129294749,6709304,14294989,4751926524,5445234327,586408,8899233186,64063,1394961308,46517,33548524974,5121022,25979360,19346263,81397923,2003458,6666468,0,36247793867,34206095482,0,34211086525,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,U,2024-04-15 07:38:44.142971,rodinia,kmeans_U_t8_crackle3,kmeans,8,0.04,0.08,99.83,10.57,2.6781674354525125,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
1.463858,5649791129,55987489,65130468,149627666,65180360674,34380434309,,61727200596,32298065343,50466827698,0,0,948,24807.94,33,0,0,0,4058,4058,24808.18,209207442,9054721131,144148602,51901525,12174001,1459676343,10685517,14541113071,50506201,128500676,134693744,227950287,6100293,17570314,4994331126,5731551171,944531,8999282077,113428,1458042989,86576,34468999138,9673579,48821660,25911726,133373597,1375161,5617738,0,66192270725,62690704552,0,62693171454,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,U,2024-04-15 07:39:16.190144,rodinia,kmeans_U_t16_crackle3,kmeans,16,0.08,0.04,99.85,10.57,2.954949592105245,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
1.6292369999999998,5423590177,67516701,69443919,171648438,68445905050,33160654829,,64831737164,36166863082,54116143101,0,0,3980,26053.82,1471,0,0,0,2651,2651,26056.52,231633431,8859608947,186597356,33906500,11098128,1472815741,13475873,14237183472,58099771,152408068,159739519,274944301,4226917,15735194,4884869712,5486688812,927503,8969776495,96779,1460003698,49200,33429845898,11117694,57826985,33224381,160982260,999675,4631507,0,69487213772,65826406690,0,65830807726,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,U,2024-04-15 07:39:47.467493,rodinia,kmeans_U_t32_crackle3,kmeans,32,0.06,0.06,99.83,10.57,2.6550014515997367,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
1.130612,5456399442,41042406,39186006,101458630,48479317727,33053559099,,45869455515,20242152615,34112131737,0,0,6122,18439.18,2575,0,0,0,2469,2469,18443.20,155537384,8812117647,92939796,76445069,9296130,1490866114,13633153,14063781860,30122749,84917469,88731939,140675106,3727076,12987183,4709060680,5372037912,894132,8829882303,86059,1432712201,39230,33913066207,7288965,29865339,26494316,90224742,727319,4830490,0,49218877891,46577922672,0,46580695751,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,U,2024-04-15 07:40:19.550578,rodinia,kmeans_U_t64_crackle3,kmeans,64,0.06,0.06,99.85,10.57,3.825916052544993,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
0.6966186000000001,5364426719,17576813,14423438,31864948,29193358937,33125853536,,27534697549,4521135052,14468903835,0,0,9907,11071.93,2411,0,0,0,2624,2624,11081.45,74607435,8856771361,22374792,129010739,6095131,1486770572,13659902,13946715825,9741140,21227168,42344132,50375820,3776548,12471635,4633506187,5393703857,1133923,8751294824,102568,1404225422,46907,33266302751,3662773,9362049,19925107,43198716,541181,4834074,0,29614964274,27938930763,0,27936983293,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,U,2024-04-15 07:40:49.098864,rodinia,kmeans_U_t128_crackle3,kmeans,128,0.04,0.04,99.9,10.57,6.209461820284441,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
