compute_time,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,,ref-cycles,stalled-cycles-frontend,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,mem-loads,mem-stores,msr/aperf/,msr/mperf/,msr/smi/,msr/tsc/,power/energy-cores/,power/energy-pkg/,power/energy-ram/,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,CPU max MHz,CPU min MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),total_memory
1.552,1236544921,30801047,253119640,5777386,60330560,7124914305,6549315951,,7084884766,4301095899,0,0,3149,2629.03,560,0,0,0,143583,143584,2633.20,69689065,2130531408,7306787,19434815,1440697716,34101879,3307288,35650530,801863,4969790,2275722,10838421,29743575,1204886894,12180354,2054205743,1325241,1379681386,1235603,925025,1835003,3315662,451772,642381,984203,2636359,0,1360452084,7280720868,7255021240,5,7339718588,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 21:56:03.601269,parsec,canneal_simsmall_t1_snappy1,canneal,1,0.15,0.07,99.78,5.77,1.0,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1353.857,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
1.3954,1203702414,29827573,260175032,7207611,60054297,7147914276,6413044821,,7264264557,4417289799,0,0,3143,2709.22,553,0,0,0,143827,143828,2713.58,69639641,2125857104,7718845,20118083,1444230093,34463075,3349898,36976435,840014,4962922,3343013,10134065,31605041,1251055154,12361473,2102941474,1386454,1403554560,1235118,836771,1765042,3522621,480672,665509,1935147,3394571,0,1337014564,7426924912,7475585682,5,7563026394,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 21:56:33.633387,parsec,canneal_simsmall_t2_snappy1,canneal,2,0.08,0.12,99.8,5.77,1.1122258850508815,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1353.857,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
1.2719999999999998,1313811825,30317647,257664111,6545117,59943778,7323124983,6693070232,,7161245923,4416957547,0,0,3250,2664.75,557,0,0,0,143737,143738,2669.11,70090912,2103134384,7548275,19782217,1385398992,36878802,3531521,36003872,707494,5255785,3435591,10139966,31258012,1210715440,12081737,2025887433,1395012,1360009447,1227136,793346,1580701,3515454,355584,603316,1500139,3437293,0,1463996699,7385962101,7349662753,6,7438895732,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 21:57:03.246027,parsec,canneal_simsmall_t4_snappy1,canneal,4,0.1,0.1,99.8,5.77,1.2201257861635222,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1353.857,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
1.1876000000000002,1289930800,31673013,258560961,6673049,60196248,7363096392,6602035577,,7215079722,4487434962,0,0,3386,2681.37,577,0,0,0,143980,143981,2685.64,69849542,2091047359,7424255,19832702,1381275279,34401386,3825086,37418576,675426,5811101,3552885,10189271,31314389,1234368252,12676018,2102531532,1353252,1414146459,1369872,772405,1548244,3265890,551664,802918,1709219,3108224,0,1408581870,7466995739,7390192743,5,7485650041,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 21:57:32.057934,parsec,canneal_simsmall_t8_snappy1,canneal,8,0.05,0.05,99.9,5.76,1.3068373189626135,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1353.857,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
1.1669999999999998,1231097655,29931180,256308752,7403092,61308478,7297077125,6493536881,,7159233752,4501192633,0,0,3683,2668.10,592,0,0,0,143858,143859,2672.64,69488516,2105564120,7693004,20016470,1419969381,35217853,3363406,36216270,712766,4557155,3802602,11308415,30500622,1200420232,11106818,2040379490,1378920,1384436347,1261526,717456,1652306,3593283,476925,670554,1729135,3814606,0,1374248868,7461483122,7350703432,5,7446658122,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 21:58:00.279530,parsec,canneal_simsmall_t16_snappy1,canneal,16,0.05,0.07,99.88,5.77,1.3299057412167954,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1353.857,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
1.1928,1237542503,29722915,265644307,6959871,62093647,7424638964,6630745363,,7395102387,4572640217,0,0,4922,2753.73,1066,0,0,0,143962,143964,2758.89,71602464,2161841115,7531880,20611256,1458902782,36889480,3454644,38280642,943538,6039627,3718727,10626922,32948300,1262593362,12337276,2069874817,1491167,1400637790,1465879,993115,1840248,3587577,742164,949832,2166096,3436985,0,1391167262,7598846705,7590309789,4,7683488335,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 21:58:28.280457,parsec,canneal_simsmall_t32_snappy1,canneal,32,0.05,0.08,99.87,5.77,1.301140174379611,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1353.857,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
1.2131999999999998,1382886580,33502680,260861600,7016655,64371092,7661419682,6797843720,,7256073758,4677213732,0,0,7056,2705.11,1090,0,0,0,143965,143966,2710.99,72881646,2139483158,7390511,21436892,1430521993,38657552,3839986,38722450,1122731,5952684,4137414,10613804,31480668,1237993328,12048010,2124241010,1330814,1422211481,1270092,762054,1861854,3606011,589523,1117427,1280088,3073330,0,1511761176,7702159499,7447295385,4,7544479223,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 21:58:56.559746,parsec,canneal_simsmall_t64_snappy1,canneal,64,0.15,0.17,99.68,5.78,1.2792614573030006,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1353.857,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
1.2642,1178813659,30830728,255760783,9404183,67357781,7655276033,6434420667,,7158995493,4946498651,0,0,11115,2705.46,1216,0,0,0,144226,144228,2712.32,75011795,2179074055,8517916,21491070,1447104823,35896843,4037707,38834766,1235943,5857536,3209712,11252340,36652630,1450720119,14647401,2229627933,1690081,1538837112,1452026,874507,1923513,3804417,614187,945342,2071475,5062429,0,1299851692,7964354751,7437980192,6,7540468854,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 21:59:24.679549,parsec,canneal_simsmall_t128_snappy1,canneal,128,0.13,0.33,99.53,5.78,1.2276538522385698,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1353.857,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
