compute_time,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,,ref-cycles,stalled-cycles-frontend,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,mem-loads,mem-stores,msr/aperf/,msr/mperf/,msr/smi/,msr/tsc/,power/energy-cores/,power/energy-pkg/,power/energy-ram/,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,CPU max MHz,CPU min MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),total_memory
3.568,2249802228,46394370,438454152,17249618,108807912,14513804196,12210652662,,12266348560,9427095677,0,0,3196,4529.45,542,0,0,0,173179,173180,4533.05,130360584,4084754101,15060985,31357127,2688569375,40284036,12228629,73650054,1671250,6410243,5101384,18059359,46056918,2195729009,24284616,4053022970,1808019,2668780664,1525042,1239472,3168259,12313352,361304,865688,1204678,4674545,0,2688378950,14692370816,12490056403,8,12663654847,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-15 22:00:09.485250,parsec,canneal_simmedium_t1_snappy1,canneal,1,0.05,0.08,99.87,5.77,1.0,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1379.150,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
3.2982,2245484850,44994545,476688138,21426650,109396265,15077777044,12167145930,,13301480306,9957865285,0,0,3277,4908.63,591,0,0,0,167139,167141,4912.74,131556679,4051128314,15201415,32117378,2676821445,40118080,13563802,75398564,1018196,5957861,7637419,17767207,46480336,2200373026,24837747,4048522642,1860472,2663692994,1407105,878310,4658668,13274240,472877,877667,4520867,7935491,0,2680553369,15279581188,13563817968,10,13722333009,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-15 22:00:49.143036,parsec,canneal_simmedium_t2_snappy1,canneal,2,0.25,0.77,97.55,5.8,1.0818021951367414,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1379.150,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
2.9431999999999996,2250802317,45206730,458817210,21344090,110680547,14949220942,12275074619,,12844839826,9855333563,0,0,3521,4751.80,601,0,0,0,167096,167097,4755.63,133970669,4122006889,15427956,32676308,2708227476,42039350,13601281,75755301,1273982,5733686,8029899,18168192,45078699,2207536408,25647050,4035703858,1867198,2662129694,1396868,832529,4033412,13508127,503699,1103401,4102450,7633466,0,2676339574,15186909452,13079331680,8,13285255175,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-15 22:01:28.147376,parsec,canneal_simmedium_t4_snappy1,canneal,4,0.55,0.67,95.78,5.78,1.2122859472682797,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1379.150,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
2.8846,2186368158,46011553,491883166,21477440,111418761,14940309872,12139260117,,13790035080,9912655218,0,0,3723,5111.01,630,0,0,0,166720,166722,5115.52,131925855,4079127946,15491551,32078470,2681361425,41051508,13666561,75504614,1192939,5254353,7864322,18594234,45906376,2245572564,25328616,4119459399,1920362,2712560793,1503688,779540,4821097,13827921,506029,1005211,4554511,8160070,0,2593168525,15258627313,14093225379,10,14286944428,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-15 22:02:04.992244,parsec,canneal_simmedium_t8_snappy1,canneal,8,0.22,0.4,99.33,5.78,1.2369132635374056,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1379.150,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
2.6142000000000003,2215322977,45300332,487422216,19754792,109343181,14540449802,12124926719,,13640791914,9493484895,0,0,4506,5041.54,619,0,0,0,167635,167636,5046.61,131359453,4031665216,15284490,32416721,2652172472,39948645,12695764,75566156,1192254,6071276,7574364,18354330,48067495,2287712948,26510769,4144489966,1943811,2730926411,1411526,850649,3250751,12623063,468951,1011497,4433061,7614509,0,2659741691,14872293676,13937625071,10,14088914837,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-15 22:02:41.861107,parsec,canneal_simmedium_t16_snappy1,canneal,16,0.03,0.05,99.73,5.79,1.3648534924642337,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1379.150,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
2.5994,2204687746,45722797,486786538,20982236,112374258,14593615191,12120875511,,13607993368,9516305690,0,0,7022,5035.11,2019,0,0,0,167969,167970,5041.30,133262432,4095235533,15347172,32218505,2713850178,40548897,12269377,76571041,984650,6340868,8095927,18301201,48856417,2260140991,26346701,4076509493,2000314,2697578680,1511787,1202495,3461808,12537281,496769,924431,4561160,8515572,0,2627470140,14937683355,13931722916,9,14065134531,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-15 22:03:17.490492,parsec,canneal_simmedium_t32_snappy1,canneal,32,0.08,0.07,99.85,5.79,1.3726244517965684,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1379.150,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
2.691,2471866464,52177480,491143252,20790813,114385874,15185987750,12653394062,,13747583248,9766380862,0,0,11522,5090.99,1614,0,0,0,167763,167764,5098.57,137900308,4126005628,14992294,34286120,2706680733,42934281,12614410,77697054,1177811,7897677,8290080,18343242,47487345,2191716676,26255298,4093764721,1732772,2676897883,1434944,1271467,4280227,12723165,1216137,1850273,3534848,7659871,0,2779228275,15232419796,14073062310,7,14215685358,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-15 22:03:52.935317,parsec,canneal_simmedium_t64_snappy1,canneal,64,0.05,0.05,99.9,5.79,1.3259011519881085,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1379.150,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
2.7577999999999996,2172541455,47702875,484899928,22464673,120303782,14983658928,11944088619,,13610290943,10116784168,0,0,19904,5072.75,1704,0,0,0,168032,168034,5082.53,139682291,4136093419,17072916,34826808,2737582036,43174458,13277055,79805639,1892186,9048836,7327770,19114530,53525285,2507506643,28941485,4249035880,2281797,2880990796,1647332,1398763,3045511,13389698,591748,1431812,4260640,9395843,0,2575394081,15645533203,14018854259,11,14153990780,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simmedium,2024-04-15 22:04:29.012465,parsec,canneal_simmedium_t128_snappy1,canneal,128,0.28,0.07,99.63,5.79,1.2937849010080502,snappy1,x86_64,"32-bit, 64-bit",Little Endian,20,0-19,1,10,2,2,GenuineIntel,6,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,4,1379.150,3600.0000,1200.0000,5599.90,VT-x,32K,32K,256K,25600K,"0,2,4,6,8,10,12,14,16,18","1,3,5,7,9,11,13,15,17,19",128 GiB
