compute_time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,,ref-cycles,stalled-cycles-backend,stalled-cycles-frontend,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-loads,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,mem-loads,msr/aperf/,msr/mperf/,msr/smi/,msr/tsc/,uncore/clockticks/,uncore/qhl_request_ioh_reads/,uncore/qhl_request_ioh_writes/,uncore/qhl_request_local_reads/,uncore/qhl_request_local_writes/,uncore/qhl_request_remote_reads/,uncore/qhl_request_remote_writes/,uncore/qmc_normal_reads_any/,uncore/qmc_writes_full_any/,size,run_time,benchmark,run_id,program,threads,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up,hostname,Architecture,CPU op-mode(s),Byte Order,CPU(s),On-line CPU(s) list,Thread(s) per core,Core(s) per socket,Socket(s),NUMA node(s),Vendor ID,CPU family,Model,Model name,Stepping,CPU MHz,BogoMIPS,Virtualization,L1d cache,L1i cache,L2 cache,L3 cache,NUMA node0 CPU(s),NUMA node1 CPU(s),total_memory
7.1652000000000005,2601605410,90128278,32266644,103587232,21916891966,31113966247,,20080844206,4746246199,9486494539,0,0,5283,8073.18,615,0,0,0,204689,204689,8079.59,322752532,8969417641,291216557,2625630,68375126,4021837490,233246029,12011726968,17283377,54961049,92478743,135476687,13300207,94097050,1848106126,2617198588,10350662,8962199796,927628,3939687347,1419207,30901291570,2557114,18423440,14853305,91691841,461085,13882308,0,22182802031,20349346733,0,20373923862,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 05:51:58.816644,parsec,facesim_simsmall_t1_crackle3,facesim,1,0.02,0.04,99.9,9.75,1.0,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
4.9192,2653933896,91729826,30366547,109988986,22310456165,30978261958,,20439269211,5583648700,9897074677,0,0,6366,8217.12,640,0,0,0,202076,202076,8223.97,316594403,8946924463,296886232,15591372,68395534,3998444745,240459733,12053906027,15636122,52125171,57957553,149666345,12207874,103419557,1855220691,2649433508,9991129,9004732631,997980,4020759965,1455114,30929716967,5052562,15376128,24768788,60343244,1060989,11559455,0,22588945486,20713500811,0,20736236379,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 05:53:05.255573,parsec,facesim_simsmall_t2_crackle3,facesim,2,0.04,0.04,99.87,9.75,1.4565783054155148,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
3.7802,2658394577,91499829,31076075,102200013,22552002876,31184310854,,20812740196,5630364330,10076013690,0,0,7649,8402.89,628,0,0,0,191821,191821,8410.73,308437312,9061828001,278715420,37214333,65396425,4039719623,240409169,12216725886,14839915,53675426,61925350,143989901,13236089,83586807,1863699457,2642516237,10147876,9027548405,925513,4064799902,1619346,31379071180,5741153,16669799,26182011,62171706,1307885,12313825,0,22877211419,21136580415,0,21201754951,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 05:54:00.397045,parsec,facesim_simsmall_t4_crackle3,facesim,4,6.34,0.06,93.6,9.75,1.8954552669170945,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
3.7008,2715359697,95081785,34770968,129458980,25959392340,31187753497,,24638969977,6750918924,13321598398,0,0,10457,9958.38,703,0,0,0,192154,192155,9968.80,320604171,9103838789,311472053,23198219,69403386,4079238620,258715064,12495419536,18913044,69372327,65359457,146934462,14328141,95661170,1897842282,2712723795,11705432,9077164520,1341731,4026452312,1872568,31409170061,7145851,19315008,22603999,66277816,1343198,14252387,0,26433206696,25080976751,0,25123578628,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 05:54:49.934790,parsec,facesim_simsmall_t8_crackle3,facesim,8,0.04,0.04,99.9,9.73,1.9361219195849546,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
3.5238,2831229205,99398570,43088290,133278377,33410045664,31926074742,,31760965117,8398826024,20194930453,0,0,15770,12823.92,908,0,0,0,192516,192516,12839.13,326838391,9296326487,291533759,38395793,75964625,4135482213,232661598,13284013234,24583403,79653370,64056263,141066245,18764169,107267388,1993929388,2830011748,14778170,9231476458,1926372,4096675117,2735599,31264438194,9028955,25591546,26051702,64588327,3200482,17646622,0,33960186671,32298352375,0,32349438038,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 05:55:38.943872,parsec,facesim_simsmall_t16_crackle3,facesim,16,0.06,0.06,99.83,9.75,2.033373063170441,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
4.1974,2880127599,102848099,51893306,168751141,35149216700,31872133841,,33701741098,10348777737,22008117684,0,0,26746,13657.80,3254,0,0,0,192562,192562,13686.74,339778382,9365376030,276901725,67601847,75230059,4195082506,244705004,13337829563,31116448,97075345,72023791,144775112,15117099,105259527,2090223665,2909089930,16885252,9390717271,2684286,4208729230,2400852,32361631757,11234442,32401508,25794151,71295626,2171660,15056002,0,35896960048,34354643825,0,34399808227,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 05:56:27.214160,parsec,facesim_simsmall_t32_crackle3,facesim,32,0.04,0.04,99.9,9.77,1.7070567494163054,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
5.283799999999999,2981478306,108897093,57760453,185370176,37733297143,33035808507,,36484334505,11588823583,24067613806,0,0,48352,14847.88,4090,0,0,0,193585,193585,14902.84,363470927,9709226992,252193104,75320087,80496243,4308331503,281455059,13781501958,36719218,109626548,72776779,126729117,15543919,86297130,2212778199,3011918409,17630839,9751751258,2085636,4333561386,2998445,33195387869,14284965,37855755,29116588,80613197,2593491,20127367,0,38555872390,37256738782,0,37295301954,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 05:57:18.853493,parsec,facesim_simsmall_t64_crackle3,facesim,64,0.08,0.1,99.79,9.77,1.356069495438889,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
7.374599999999999,3236470509,117721599,70427397,246760675,42745439639,34628733890,,41923341005,14284044355,28318191861,0,0,92047,17194.11,7885,0,0,0,195359,195359,17312.64,383041821,10128390364,194596542,117154630,77226889,4623792168,325721930,14563333946,46059303,141188671,85644539,143691407,18387338,104636748,2467319522,3280006773,22964746,10115521627,2268684,4502960284,3453946,34420283598,18757339,48690889,31664719,85038764,3060808,20540288,0,43766611644,42923112336,0,42947128668,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,simsmall,2024-04-15 05:58:15.966334,parsec,facesim_simsmall_t128_crackle3,facesim,128,0.04,0.06,99.87,9.75,0.9716052396062161,crackle3,x86_64,"32-bit, 64-bit",Little Endian,16,0-15,2,4,2,2,GenuineIntel,6,44,Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,2,2527.118,5054.23,VT-x,32K,32K,256K,12288K,"0,2,4,6,8,10,12,14","1,3,5,7,9,11,13,15",64 GiB
