compute_time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,,stalled-cycles-backend,stalled-cycles-frontend,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-icache-load-misses,L1-icache-loads,L1-icache-prefetches,LLC-load-misses,LLC-loads,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,msr/aperf/,msr/mperf/,msr/tsc/,run_id,program,threads,hostname,host_cpu_user,host_cpu_system,host_cpu_idle,host_memused,speed_up
1.581464,5211252597.0,23880487.0,7143552.0,98334979.0,24171423509.0,20414172557.0,,2560104754.0,6630052626.0,0.0,0.0,14011.0,10441.89,2170.0,0.0,0.0,0.0,4134.0,4134.0,10486.27,26275382.0,8528213705.0,4851.0,16834960.0,11423467.0,5585349725.0,27243.0,7137557.0,93098287.0,11348533.0,23706007.0,5158935626.0,1700573.0,8584372078.0,36137.0,5654226193.0,24872837034.0,21804276023.0,21809081091.0,0,bfs,1,crunchy1.cims.nyu.edu,2.88,57.55,39.56,7.82,1.0
1.288397,5158000642.0,23307959.0,7045550.0,86939234.0,23906413943.0,20046636311.0,,2731718391.0,6357088503.0,0.0,0.0,12523.0,10311.09,2183.0,0.0,0.0,0.0,4606.0,4606.0,10345.08,26511859.0,8562777581.0,5015.0,17495149.0,11748396.0,5646448738.0,33479.0,7882294.0,87217932.0,11176702.0,24376667.0,5188841288.0,1601280.0,8570318748.0,39509.0,5560976913.0,24565900217.0,21547197054.0,21549819031.0,1,bfs,2,crunchy1.cims.nyu.edu,2.98,57.58,39.44,7.83,1.2274663787636886
1.002229,4974996584.0,27852213.0,7183309.0,85714275.0,26133009452.0,19518030014.0,,2432767763.0,8351343195.0,0.0,0.0,19807.0,11459.46,1699.0,0.0,0.0,0.0,4535.0,4535.0,11569.84,29898826.0,8273503082.0,5121.0,21602891.0,15590815.0,5632096237.0,44960.0,7552584.0,87525853.0,10930491.0,28080740.0,4990807704.0,1890866.0,8142614289.0,44333.0,5415102414.0,26991779730.0,23742170772.0,23733594470.0,2,bfs,4,crunchy1.cims.nyu.edu,2.87,57.58,39.55,7.83,1.5779467566793617
6.996413,5139556406.0,26466441.0,7275726.0,95063053.0,25969951636.0,20065665541.0,,2475710192.0,8155476065.0,0.0,0.0,18636.0,11447.39,1834.0,0.0,0.0,0.0,3581.0,3581.0,11548.33,29110389.0,8493573910.0,4999.0,18781148.0,14314715.0,5652497116.0,27095.0,6835701.0,90375382.0,12435464.0,26338897.0,5147746973.0,1846029.0,8451810070.0,43111.0,5596080267.0,26953181786.0,23723083357.0,23717161433.0,3,bfs,8,crunchy1.cims.nyu.edu,33.27,50.29,16.44,8.71,0.22603925754525925
1.085453,5153286934.0,24579999.0,7136677.0,90845049.0,24637559299.0,20234787370.0,,2700948257.0,6579880078.0,0.0,0.0,16009.0,10694.81,2033.0,0.0,0.0,0.0,4718.0,4718.0,10746.13,30253993.0,8580451052.0,3868.0,21036177.0,13192278.0,5637235896.0,25816.0,6745706.0,86697484.0,10315712.0,24020771.0,5130915125.0,1754169.0,8514632586.0,39119.0,5595660264.0,25445936464.0,22309535548.0,22316417636.0,4,bfs,16,crunchy1.cims.nyu.edu,4.54,55.74,39.72,8.76,1.4569622084051543
